sku_id,region,week,quantity,source
SKU-A001,APAC,2024-W01,649,statistical
SKU-A001,APAC,2024-W02,782,statistical
SKU-A001,APAC,2024-W03,790,statistical
SKU-A001,APAC,2024-W04,756,statistical
SKU-A001,APAC,2024-W05,811,statistical
SKU-A001,APAC,2024-W06,928,statistical
SKU-A001,APAC,2024-W07,839,statistical
SKU-A001,APAC,2024-W08,1023,statistical
SKU-A001,APAC,2024-W09,977,statistical
SKU-A001,APAC,2024-W10,864,statistical
SKU-A001,APAC,2024-W11,768,statistical
SKU-A001,APAC,2024-W12,867,statistical
SKU-A001,APAC,2024-W13,771,statistical
SKU-A001,APAC,2024-W14,752,statistical
SKU-A001,APAC,2024-W15,642,statistical
SKU-A001,APAC,2024-W16,641,statistical
SKU-A001,APAC,2024-W17,733,statistical
SKU-A001,APAC,2024-W18,741,statistical
SKU-A001,APAC,2024-W19,744,statistical
SKU-A001,APAC,2024-W20,818,statistical
SKU-A001,APAC,2024-W21,1008,statistical
SKU-A001,APAC,2024-W22,1009,statistical
SKU-A001,APAC,2024-W23,1093,statistical
SKU-A001,APAC,2024-W24,947,statistical
SKU-A001,APAC,2024-W25,896,statistical
SKU-A001,APAC,2024-W26,779,statistical
SKU-A001,EMEA,2024-W01,1180,statistical
SKU-A001,EMEA,2024-W02,1345,statistical
SKU-A001,EMEA,2024-W03,1494,statistical
SKU-A001,EMEA,2024-W04,1605,statistical
SKU-A001,EMEA,2024-W05,1462,statistical
SKU-A001,EMEA,2024-W06,1534,statistical
SKU-A001,EMEA,2024-W07,1783,statistical
SKU-A001,EMEA,2024-W08,1830,statistical
SKU-A001,EMEA,2024-W09,1681,statistical
SKU-A001,EMEA,2024-W10,1678,statistical
SKU-A001,EMEA,2024-W11,1561,statistical
SKU-A001,EMEA,2024-W12,1422,statistical
SKU-A001,EMEA,2024-W13,1437,statistical
SKU-A001,EMEA,2024-W14,1466,statistical
SKU-A001,EMEA,2024-W15,1318,statistical
SKU-A001,EMEA,2024-W16,1105,statistical
SKU-A001,EMEA,2024-W17,1370,statistical
SKU-A001,EMEA,2024-W18,1414,statistical
SKU-A001,EMEA,2024-W19,1577,statistical
SKU-A001,EMEA,2024-W20,1594,statistical
SKU-A001,EMEA,2024-W21,1722,statistical
SKU-A001,EMEA,2024-W22,1743,statistical
