scenario_id,effective_from,effective_to,currency_code,version_no,remark,node_id,node_name,node_type,direct_labor_cost_rate,machine_cost_rate,utility_cost_rate,production_variable_cost_rate,inventory_holding_cost_rate,warehouse_handling_cost_rate,local_sga_fixed_cost,local_sga_variable_cost_rate,depreciation_cost_per_period,maintenance_fixed_cost,capacity_cost_basis,overtime_cost_rate,scrap_loss_cost_rate
BASE,2026-01-01,2099-12-31,JPY,1,derived from sku_cost_table_*,CS_CN_PREMIUM,CS_CN_PREMIUM,market,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unit,0.0,0.0
BASE,2026-01-01,2099-12-31,JPY,1,derived from sku_cost_table_*,CS_DE_PREMIUM,CS_DE_PREMIUM,market,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unit,0.0,0.0
BASE,2026-01-01,2099-12-31,JPY,1,derived from sku_cost_table_*,CS_IN_ASPIRER,CS_IN_ASPIRER,market,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unit,0.0,0.0
BASE,2026-01-01,2099-12-31,JPY,1,derived from sku_cost_table_*,CS_JP_REPLACEMENT,CS_JP_REPLACEMENT,market,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unit,0.0,0.0
BASE,2026-01-01,2099-12-31,JPY,1,derived from sku_cost_table_*,CS_UK_MAINSTREAM,CS_UK_MAINSTREAM,market,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unit,0.0,0.0
BASE,2026-01-01,2099-12-31,JPY,1,derived from sku_cost_table_*,CS_US_MAINSTREAM,CS_US_MAINSTREAM,market,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unit,0.0,0.0
BASE,2026-01-01,2099-12-31,JPY,1,derived from sku_cost_table_*,CS_US_PREMIUM,CS_US_PREMIUM,market,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unit,0.0,0.0
BASE,2026-01-01,2099-12-31,JPY,1,derived from sku_cost_table_*,DAD_FAS_AMER,DAD_FAS_AMER,dc,0.0,0.0,0.0,0.0,21.38,12.828000000000001,0.0,32.07,0.0,0.0,unit,0.0,0.0
BASE,2026-01-01,2099-12-31,JPY,1,derived from sku_cost_table_*,DAD_FAS_APAC,DAD_FAS_APAC,dc,0.0,0.0,0.0,0.0,21.38,12.828000000000001,0.0,32.07,0.0,0.0,unit,0.0,0.0
BASE,2026-01-01,2099-12-31,JPY,1,derived from sku_cost_table_*,DAD_FAS_EURO,DAD_FAS_EURO,dc,0.0,0.0,0.0,0.0,21.38,12.828000000000001,0.0,32.07,0.0,0.0,unit,0.0,0.0
