Product_name,Parent_node,Child_node,child_node_name,lot_size,leadtime,process_capa,long_vacation_weeks,LT_boat,LT_air,LT_qourier,weeks_year,SS_days,TAX_currency_condition,HS_code,customs_tariff_rate,price_elasticity,cost_standard_flag,AR_lead_time,AP_lead_time,PSI_graph_flag,buffering_stock_flag
JPN_Koshihikari,root,supply_point,supply_point,10,1,40,[],1,1,1,52,10,profile,,0,0,0,30,45,ON,OFF
JPN_Koshihikari,supply_point,DADKosihikari,DADKosihikari,10,1,40,[],1,1,1,52,10,profile,,0,0,0,30,45,ON,OFF
JPN_Koshihikari,DADKosihikari,WS1Kosihikari,WS1Kosihikari,10,1,40,[],1,1,1,52,10,profile,,0,0,0,30,45,ON,OFF
JPN_Koshihikari,WS1Kosihikari,WS2JPN,WS2JPN,10,1,40,[],1,1,1,52,10,profile,,0,0,0,30,45,ON,ON
JPN_Koshihikari,WS2JPN,RT_JPN,RT_JPN,10,2,40,[],1,1,1,52,10,profile,,0,0,0,30,45,ON,OFF
JPN_Koshihikari,RT_JPN,CS_JPN,CS_JPN,10,4,40,[],1,1,1,52,10,profile,,0,0,100,30,45,ON,OFF
JPN_RICE_1,root,supply_point,supply_point,10,1,40,[],1,1,1,52,10,profile,,0,0,0,30,45,ON,OFF
JPN_RICE_1,supply_point,DADJPN,DADJPN,10,1,40,[],1,1,1,52,10,profile,,0,0,0,30,45,ON,OFF
JPN_RICE_1,DADJPN,WS1JPN,WS1JPN,10,1,40,[],1,1,1,52,10,profile,,0,0,0,30,45,ON,OFF
JPN_RICE_1,WS1JPN,WS2JPN,WS2JPN,10,1,40,[],1,1,1,52,10,profile,,0,0,0,30,45,ON,ON
JPN_RICE_1,WS2JPN,RT_JPN,RT_JPN,10,2,40,[],1,1,1,52,10,profile,,0,0,0,30,45,ON,OFF
JPN_RICE_1,RT_JPN,CS_JPN,CS_JPN,10,4,40,[],1,1,1,52,10,profile,,0,0,100,30,45,ON,OFF
Reserv_Rice,root,supply_point,supply_point,10,1,40,[],1,1,1,52,10,profile,,0,0,0,30,45,ON,OFF
Reserv_Rice,supply_point,DADGSJP,DADGSJP,10,1,40,[],1,1,1,52,10,profile,,0,0,0,30,45,ON,OFF
Reserv_Rice,DADGSJP,GR_JPN,GR_JPN,10,1,40,[],1,1,1,52,10,profile,,0,0,0,30,45,ON,OFF
Reserv_Rice,GR_JPN,GR_WS2JPN,GR_WS2JPN,10,1,40,[],1,1,1,52,10,profile,,0,0,0,30,45,ON,OFF
Reserv_Rice,GR_WS2JPN,GR_RT_JPN,GR_RT_JPN,10,2,40,[],1,1,1,52,10,profile,,0,0,0,30,45,ON,OFF
Reserv_Rice,GR_RT_JPN,GR_CS_JPN,GR_CS_JPN,10,4,40,[],1,1,1,52,10,profile,,0,0,0,30,45,ON,OFF
Reserv_Rice,GR_JPN,GRxRT_JPN,GRxRT_JPN,10,2,40,[],1,1,1,52,10,profile,,0,0,0,30,45,ON,OFF
Reserv_Rice,GRxRT_JPN,GRxCS_JPN,GRxCS_JPN,10,4,40,[],1,1,1,52,10,profile,,0,0,100,30,45,ON,OFF
CAL_RICE_1,root,supply_point,supply_point,10,1,40,[],1,1,1,52,10,profile,,0,0,0,30,45,ON,OFF
CAL_RICE_1,supply_point,DADCAL,DADCAL,10,1,40,[],1,1,1,52,10,profile,,0,0,0,30,45,ON,OFF
CAL_RICE_1,DADCAL,WS1CAL,WS1CAL,10,4,40,[],4,2,1,52,10,profile,,0.3,0,0,30,45,ON,OFF
CAL_RICE_1,WS1CAL,WS2CAL,WS2CAL,10,1,40,[],1,1,1,52,10,profile,,0,0,0,30,45,ON,ON
CAL_RICE_1,WS2CAL,RT_CAL,RT_CAL,10,2,40,[],1,1,1,52,10,profile,,0,0,0,30,45,ON,OFF
CAL_RICE_1,RT_CAL,CS_CAL,CS_CAL,10,4,40,[],1,1,1,52,10,profile,,0,0,100,30,45,ON,OFF
