node_name,lat,lon
supply_point,1.35,103.82
MOM_final_assy_ASIA,13.08,80.27
MOM_final_assy_EURO,47.49,19.04
PAD_final_assy_ASIA,22.57,88.36
PAD_final_assy_EURO,50.11,8.68
DAD_FAS_AMER,33.45,-112.07
DAD_FAS_EURO,52.31,4.77
DAD_FAS_APAC,1.35,103.82
WS_NA,33.45,-112.07
WS_EU,52.31,4.77
WS_APAC,1.35,103.82
RT_US_ONLINE,37.09,-95.71
RT_US_CARRIER,37.09,-95.71
RT_DE_ONLINE,51.17,10.45
RT_UK_CARRIER,55.38,-3.44
RT_JP_APPLE,36.2,138.25
RT_IN_ECOM,22.59,78.96
RT_CN_ONLINE,35.86,104.19
CS_US_PREMIUM,37.09,-95.71
CS_US_MAINSTREAM,37.09,-95.71
CS_DE_PREMIUM,51.17,10.45
CS_UK_MAINSTREAM,55.38,-3.44
CS_JP_REPLACEMENT,36.2,138.25
CS_IN_ASPIRER,22.59,78.96
CS_CN_PREMIUM,35.86,104.19
Sales_Office,35.68,139.76
Procurement_Office,1.35,103.82
