week,currency,base_currency,rate
2026-W01,USD,JPY,150.0
2026-W01,CNY,JPY,21.144
2026-W02,USD,JPY,150.27
2026-W02,CNY,JPY,21.178
2026-W03,USD,JPY,150.54
2026-W03,CNY,JPY,21.209
2026-W04,USD,JPY,150.81
2026-W04,CNY,JPY,21.238
2026-W05,USD,JPY,151.06
2026-W05,CNY,JPY,21.263
2026-W06,USD,JPY,151.3
2026-W06,CNY,JPY,21.284
2026-W07,USD,JPY,151.52
2026-W07,CNY,JPY,21.302
2026-W08,USD,JPY,151.72
2026-W08,CNY,JPY,21.315
2026-W09,USD,JPY,151.9
2026-W09,CNY,JPY,21.324
2026-W10,USD,JPY,152.06
2026-W10,CNY,JPY,21.329
2026-W11,USD,JPY,152.19
2026-W11,CNY,JPY,21.329
2026-W12,USD,JPY,152.3
2026-W12,CNY,JPY,21.326
2026-W13,USD,JPY,152.37
2026-W13,CNY,JPY,21.317
2026-W14,USD,JPY,152.42
2026-W14,CNY,JPY,21.305
2026-W15,USD,JPY,152.44
2026-W15,CNY,JPY,21.289
2026-W16,USD,JPY,152.43
2026-W16,CNY,JPY,21.27
2026-W17,USD,JPY,152.39
2026-W17,CNY,JPY,21.247
2026-W18,USD,JPY,152.32
2026-W18,CNY,JPY,21.221
2026-W19,USD,JPY,152.23
2026-W19,CNY,JPY,21.193
2026-W20,USD,JPY,152.11
2026-W20,CNY,JPY,21.163
2026-W21,USD,JPY,151.97
2026-W21,CNY,JPY,21.131
2026-W22,USD,JPY,151.81
2026-W22,CNY,JPY,21.099
2026-W23,USD,JPY,151.64
2026-W23,CNY,JPY,21.066
2026-W24,USD,JPY,151.45
2026-W24,CNY,JPY,21.033
2026-W25,USD,JPY,151.25
2026-W25,CNY,JPY,21.001
2026-W26,USD,JPY,151.05
2026-W26,CNY,JPY,20.97
2026-W27,USD,JPY,150.84
2026-W27,CNY,JPY,20.94
2026-W28,USD,JPY,150.63
2026-W28,CNY,JPY,20.913
2026-W29,USD,JPY,150.42
2026-W29,CNY,JPY,20.888
2026-W30,USD,JPY,150.23
2026-W30,CNY,JPY,20.866
2026-W31,USD,JPY,150.04
2026-W31,CNY,JPY,20.847
2026-W32,USD,JPY,149.86
2026-W32,CNY,JPY,20.832
2026-W33,USD,JPY,149.71
2026-W33,CNY,JPY,20.821
2026-W34,USD,JPY,149.57
2026-W34,CNY,JPY,20.814
2026-W35,USD,JPY,149.45
2026-W35,CNY,JPY,20.811
2026-W36,USD,JPY,149.36
2026-W36,CNY,JPY,20.813
2026-W37,USD,JPY,149.29
2026-W37,CNY,JPY,20.819
2026-W38,USD,JPY,149.25
2026-W38,CNY,JPY,20.829
2026-W39,USD,JPY,149.24
2026-W39,CNY,JPY,20.844
2026-W40,USD,JPY,149.26
2026-W40,CNY,JPY,20.863
2026-W41,USD,JPY,149.3
2026-W41,CNY,JPY,20.885
2026-W42,USD,JPY,149.38
2026-W42,CNY,JPY,20.911
2026-W43,USD,JPY,149.48
2026-W43,CNY,JPY,20.94
2026-W44,USD,JPY,149.62
2026-W44,CNY,JPY,20.972
2026-W45,USD,JPY,149.77
2026-W45,CNY,JPY,21.007
2026-W46,USD,JPY,149.95
2026-W46,CNY,JPY,21.043
2026-W47,USD,JPY,150.16
2026-W47,CNY,JPY,21.081
2026-W48,USD,JPY,150.38
2026-W48,CNY,JPY,21.12
2026-W49,USD,JPY,150.62
2026-W49,CNY,JPY,21.16
2026-W50,USD,JPY,150.87
2026-W50,CNY,JPY,21.199
2026-W51,USD,JPY,151.13
2026-W51,CNY,JPY,21.238
2026-W52,USD,JPY,151.4
2026-W52,CNY,JPY,21.276
2026-W53,USD,JPY,151.68
2026-W53,CNY,JPY,21.312
2027-W01,USD,JPY,151.95
2027-W01,CNY,JPY,21.345
2027-W02,USD,JPY,152.22
2027-W02,CNY,JPY,21.377
2027-W03,USD,JPY,152.48
2027-W03,CNY,JPY,21.405
2027-W04,USD,JPY,152.74
2027-W04,CNY,JPY,21.43
2027-W05,USD,JPY,152.97
2027-W05,CNY,JPY,21.452
2027-W06,USD,JPY,153.2
2027-W06,CNY,JPY,21.469
2027-W07,USD,JPY,153.4
2027-W07,CNY,JPY,21.483
2027-W08,USD,JPY,153.58
2027-W08,CNY,JPY,21.492
2027-W09,USD,JPY,153.74
2027-W09,CNY,JPY,21.497
2027-W10,USD,JPY,153.87
2027-W10,CNY,JPY,21.497
2027-W11,USD,JPY,153.97
2027-W11,CNY,JPY,21.493
2027-W12,USD,JPY,154.05
2027-W12,CNY,JPY,21.485
2027-W13,USD,JPY,154.1
2027-W13,CNY,JPY,21.473
2027-W14,USD,JPY,154.11
2027-W14,CNY,JPY,21.457
2027-W15,USD,JPY,154.1
2027-W15,CNY,JPY,21.437
2027-W16,USD,JPY,154.06
2027-W16,CNY,JPY,21.415
2027-W17,USD,JPY,154.0
2027-W17,CNY,JPY,21.389
2027-W18,USD,JPY,153.9
2027-W18,CNY,JPY,21.361
2027-W19,USD,JPY,153.79
2027-W19,CNY,JPY,21.331
2027-W20,USD,JPY,153.65
2027-W20,CNY,JPY,21.299
2027-W21,USD,JPY,153.49
