week,supplier_node,product_id,purchase_price,currency
2026-W01,Supplier_CN,IPHONE,1437.09,CNY
2026-W02,Supplier_CN,IPHONE,1437.12,CNY
2026-W03,Supplier_CN,IPHONE,1437.02,CNY
2026-W04,Supplier_CN,IPHONE,1436.81,CNY
2026-W05,Supplier_CN,IPHONE,1436.49,CNY
2026-W06,Supplier_CN,IPHONE,1436.09,CNY
2026-W07,Supplier_CN,IPHONE,1435.61,CNY
2026-W08,Supplier_CN,IPHONE,1435.07,CNY
2026-W09,Supplier_CN,IPHONE,1434.49,CNY
2026-W10,Supplier_CN,IPHONE,1433.88,CNY
2026-W11,Supplier_CN,IPHONE,1433.27,CNY
2026-W12,Supplier_CN,IPHONE,1432.66,CNY
2026-W13,Supplier_CN,IPHONE,1432.09,CNY
2026-W14,Supplier_CN,IPHONE,1431.55,CNY
2026-W15,Supplier_CN,IPHONE,1431.08,CNY
2026-W16,Supplier_CN,IPHONE,1430.69,CNY
2026-W17,Supplier_CN,IPHONE,1430.38,CNY
2026-W18,Supplier_CN,IPHONE,1430.18,CNY
2026-W19,Supplier_CN,IPHONE,1430.09,CNY
2026-W20,Supplier_CN,IPHONE,1430.13,CNY
2026-W21,Supplier_CN,IPHONE,1430.31,CNY
2026-W22,Supplier_CN,IPHONE,1430.62,CNY
2026-W23,Supplier_CN,IPHONE,1431.07,CNY
2026-W24,Supplier_CN,IPHONE,1431.67,CNY
2026-W25,Supplier_CN,IPHONE,1432.42,CNY
2026-W26,Supplier_CN,IPHONE,1433.31,CNY
2026-W27,Supplier_CN,IPHONE,1434.34,CNY
2026-W28,Supplier_CN,IPHONE,1435.5,CNY
2026-W29,Supplier_CN,IPHONE,1436.79,CNY
2026-W30,Supplier_CN,IPHONE,1438.19,CNY
2026-W31,Supplier_CN,IPHONE,1439.69,CNY
2026-W32,Supplier_CN,IPHONE,1441.28,CNY
2026-W33,Supplier_CN,IPHONE,1442.95,CNY
2026-W34,Supplier_CN,IPHONE,1444.67,CNY
2026-W35,Supplier_CN,IPHONE,1446.44,CNY
2026-W36,Supplier_CN,IPHONE,1448.23,CNY
2026-W37,Supplier_CN,IPHONE,1450.03,CNY
2026-W38,Supplier_CN,IPHONE,1451.83,CNY
2026-W39,Supplier_CN,IPHONE,1453.59,CNY
2026-W40,Supplier_CN,IPHONE,1455.31,CNY
2026-W41,Supplier_CN,IPHONE,1456.97,CNY
2026-W42,Supplier_CN,IPHONE,1458.55,CNY
