node_name,parent_node,product_name,node_type,side,lt_wks,cpu_size,region,ss_days,buffering_stock_flag,description
SP_Cookie_Import,,Cookie_Import,supply_point,outbound,0,1,,0,0,Supply Point bridge OT/IN (Cookie_Import)
DC_Import_Buffer,SP_Cookie_Import,Cookie_Import,dad,outbound,5,1,JP,21,1,輸入保税倉庫 横浜港 (Decoupling Point)
DC_Import_Main,DC_Import_Buffer,Cookie_Import,dad,outbound,1,1,JP,7,0,国内配送センター 東京
Retail_JP_CVS,DC_Import_Main,Cookie_Import,leaf_out,outbound,1,1,CVS,0,0,コンビニエンスストア チャネル
Retail_JP_SM,DC_Import_Main,Cookie_Import,leaf_out,outbound,1,1,SM,0,0,スーパーマーケット チャネル
Retail_JP_EC,DC_Import_Main,Cookie_Import,leaf_out,outbound,1,1,EC,0,0,EC・ドラッグストア チャネル
Factory_GP_CN,,Cookie_Import,mom,inbound,1,1,CN,7,0,北京クッキー工場 (Mother of Mfg)
Ingredients_CN,Factory_GP_CN,Cookie_Import,leaf_in,inbound,2,1,CN,0,0,小麦粉・ブドウ糖・カカオ (中国調達)
SP_Cookie_Local,,Cookie_Local,supply_point,outbound,0,1,,0,0,Supply Point bridge OT/IN (Cookie_Local)
DC_Local_JP,SP_Cookie_Local,Cookie_Local,dad,outbound,1,1,JP,3,0,Domestic_Player物流 DC（パン便相乗り）
Retail_JP_CVS,DC_Local_JP,Cookie_Local,leaf_out,outbound,1,1,CVS,0,0,コンビニエンスストア チャネル
Retail_JP_SM,DC_Local_JP,Cookie_Local,leaf_out,outbound,1,1,SM,0,0,スーパーマーケット チャネル
Retail_JP_EC,DC_Local_JP,Cookie_Local,leaf_out,outbound,1,1,EC,0,0,EC・ドラッグストア チャネル
Factory_DP_JP,,Cookie_Local,mom,inbound,1,1,JP,3,0,国内クッキー工場 埼玉
Ingredients_JP,Factory_DP_JP,Cookie_Local,leaf_in,inbound,1,1,JP,0,0,小麦粉・植物油脂 (国内調達)
