node_id,product_id,profit_zone_role,country
Fabric_CN,Apparel_Offshore,SUPPLIER_COST_BASE,CN
Dyeing_BD,Apparel_Offshore,MOM_PLANT_PROFIT,BD
Trim_VN,Apparel_Offshore,MOM_PLANT_PROFIT,VN
Garment_BD,Apparel_Offshore,MOM_PLANT_PROFIT,BD
SP_Apparel_Offshore,Apparel_Offshore,OPERATION_NODE_COST_BASE,BD
FG_WH_BD,Apparel_Offshore,OPERATION_NODE_COST_BASE,BD
DC_US_Offshore,Apparel_Offshore,OPERATION_NODE_COST_BASE,US
Retail_US_Offshore,Apparel_Offshore,OUTBOUND_CHANNEL_PROFIT,US
DC_JP_Offshore,Apparel_Offshore,OPERATION_NODE_COST_BASE,JP
Retail_JP_Offshore,Apparel_Offshore,OUTBOUND_CHANNEL_PROFIT,JP
Fabric_ES,Apparel_Vertical,SUPPLIER_COST_BASE,ES
Dyeing_PT,Apparel_Vertical,MOM_PLANT_PROFIT,PT
Trim_MA,Apparel_Vertical,MOM_PLANT_PROFIT,MA
Garment_PT,Apparel_Vertical,MOM_PLANT_PROFIT,PT
SP_Apparel_Vertical,Apparel_Vertical,OPERATION_NODE_COST_BASE,PT
FG_WH_PT,Apparel_Vertical,OPERATION_NODE_COST_BASE,PT
DC_US_Vertical,Apparel_Vertical,OPERATION_NODE_COST_BASE,US
Retail_US_Vertical,Apparel_Vertical,OUTBOUND_CHANNEL_PROFIT,US
DC_JP_Vertical,Apparel_Vertical,OPERATION_NODE_COST_BASE,JP
Retail_JP_Vertical,Apparel_Vertical,OUTBOUND_CHANNEL_PROFIT,JP
