node_name,parent_node,product_name,node_type,side,lt_wks,region,ss_days,buffering_stock_flag,description,supply_role,bom_qty
Garment_BD,,Apparel_Offshore,mom,inbound,4,BD,0,0,最終縫製（終端MOM）,,
Trim_VN,Garment_BD,Apparel_Offshore,mom,inbound,2,VN,0,0,トリム・付帯加工（中間MOM）,,
Dyeing_BD,Trim_VN,Apparel_Offshore,mom,inbound,3,BD,0,0,染色（中間MOM）,,
Fabric_CN,Dyeing_BD,Apparel_Offshore,leaf_in,inbound,3,CN,0,0,原料生地調達,,
SP_Apparel_Offshore,,Apparel_Offshore,supply_point,outbound,0,,0,0,Supply Point bridge (Apparel_Offshore),,
FG_WH_BD,SP_Apparel_Offshore,Apparel_Offshore,dad,outbound,1,BD,21,1,完成品地域倉庫（輸出前バッファ）,,
DC_US_Offshore,FG_WH_BD,Apparel_Offshore,dad,outbound,6,US,0,0,US向けDC（スループット）,,
Retail_US_Offshore,DC_US_Offshore,Apparel_Offshore,leaf_out,outbound,1,US,0,0,US市場 店舗・EC,,
DC_JP_Offshore,FG_WH_BD,Apparel_Offshore,dad,outbound,4,JP,0,0,JP向けDC（スループット）,,
Retail_JP_Offshore,DC_JP_Offshore,Apparel_Offshore,leaf_out,outbound,1,JP,0,0,JP市場 店舗・EC,,
Garment_PT,,Apparel_Vertical,mom,inbound,1,PT,0,0,最終縫製（終端MOM）,,
Trim_MA,Garment_PT,Apparel_Vertical,mom,inbound,1,MA,0,0,トリム・付帯加工（中間MOM）,,
Dyeing_PT,Trim_MA,Apparel_Vertical,mom,inbound,1,PT,0,0,染色（中間MOM）,,
Fabric_ES,Dyeing_PT,Apparel_Vertical,leaf_in,inbound,1,ES,0,0,原料生地調達,,
SP_Apparel_Vertical,,Apparel_Vertical,supply_point,outbound,0,,0,0,Supply Point bridge (Apparel_Vertical),,
FG_WH_PT,SP_Apparel_Vertical,Apparel_Vertical,dad,outbound,1,PT,7,1,完成品地域倉庫（輸出前バッファ）,,
DC_US_Vertical,FG_WH_PT,Apparel_Vertical,dad,outbound,2,US,0,0,US向けDC（スループット）,,
Retail_US_Vertical,DC_US_Vertical,Apparel_Vertical,leaf_out,outbound,1,US,0,0,US市場 店舗・EC,,
DC_JP_Vertical,FG_WH_PT,Apparel_Vertical,dad,outbound,2,JP,0,0,JP向けDC（スループット）,,
Retail_JP_Vertical,DC_JP_Vertical,Apparel_Vertical,leaf_out,outbound,1,JP,0,0,JP市場 店舗・EC,,
