week,currency,base_currency,rate
2026-W01,USD,USD,1.0
2026-W02,USD,USD,1.0
2026-W03,USD,USD,1.0
2026-W04,USD,USD,1.0
2026-W05,USD,USD,1.0
2026-W06,USD,USD,1.0
2026-W07,USD,USD,1.0
2026-W08,USD,USD,1.0
2026-W09,USD,USD,1.0
2026-W10,USD,USD,1.0
2026-W11,USD,USD,1.0
2026-W12,USD,USD,1.0
2026-W13,USD,USD,1.0
2026-W14,USD,USD,1.0
2026-W15,USD,USD,1.0
2026-W16,USD,USD,1.0
2026-W17,USD,USD,1.0
2026-W18,USD,USD,1.0
2026-W19,USD,USD,1.0
2026-W20,USD,USD,1.0
2026-W21,USD,USD,1.0
2026-W22,USD,USD,1.0
2026-W23,USD,USD,1.0
2026-W24,USD,USD,1.0
2026-W25,USD,USD,1.0
2026-W26,USD,USD,1.0
2026-W27,USD,USD,1.0
2026-W28,USD,USD,1.0
2026-W29,USD,USD,1.0
2026-W30,USD,USD,1.0
2026-W31,USD,USD,1.0
2026-W32,USD,USD,1.0
2026-W33,USD,USD,1.0
2026-W34,USD,USD,1.0
2026-W35,USD,USD,1.0
2026-W36,USD,USD,1.0
2026-W37,USD,USD,1.0
2026-W38,USD,USD,1.0
2026-W39,USD,USD,1.0
2026-W40,USD,USD,1.0
2026-W41,USD,USD,1.0
2026-W42,USD,USD,1.0
2026-W43,USD,USD,1.0
2026-W44,USD,USD,1.0
2026-W45,USD,USD,1.0
2026-W46,USD,USD,1.0
2026-W47,USD,USD,1.0
2026-W48,USD,USD,1.0
2026-W49,USD,USD,1.0
2026-W50,USD,USD,1.0
2026-W51,USD,USD,1.0
2026-W52,USD,USD,1.0
2026-W53,USD,USD,1.0
2027-W01,USD,USD,1.0
2027-W02,USD,USD,1.0
2027-W03,USD,USD,1.0
2027-W04,USD,USD,1.0
2027-W05,USD,USD,1.0
2027-W06,USD,USD,1.0
2027-W07,USD,USD,1.0
2027-W08,USD,USD,1.0
2027-W09,USD,USD,1.0
2027-W10,USD,USD,1.0
2027-W11,USD,USD,1.0
2027-W12,USD,USD,1.0
2027-W13,USD,USD,1.0
2027-W14,USD,USD,1.0
2027-W15,USD,USD,1.0
2027-W16,USD,USD,1.0
2027-W17,USD,USD,1.0
2027-W18,USD,USD,1.0
2027-W19,USD,USD,1.0
2027-W20,USD,USD,1.0
2027-W21,USD,USD,1.0
2027-W22,USD,USD,1.0
2027-W23,USD,USD,1.0
2027-W24,USD,USD,1.0
2027-W25,USD,USD,1.0
2027-W26,USD,USD,1.0
2027-W27,USD,USD,1.0
2027-W28,USD,USD,1.0
2027-W29,USD,USD,1.0
2027-W30,USD,USD,1.0
2027-W31,USD,USD,1.0
2027-W32,USD,USD,1.0
2027-W33,USD,USD,1.0
2027-W34,USD,USD,1.0
2027-W35,USD,USD,1.0
2027-W36,USD,USD,1.0
2027-W37,USD,USD,1.0
2027-W38,USD,USD,1.0
2027-W39,USD,USD,1.0
2027-W40,USD,USD,1.0
2027-W41,USD,USD,1.0
2027-W42,USD,USD,1.0
2027-W43,USD,USD,1.0
2027-W44,USD,USD,1.0
2027-W45,USD,USD,1.0
2027-W46,USD,USD,1.0
2027-W47,USD,USD,1.0
2027-W48,USD,USD,1.0
2027-W49,USD,USD,1.0
2027-W50,USD,USD,1.0
2027-W51,USD,USD,1.0
2027-W52,USD,USD,1.0
