node_id,product_id,profit_zone_role,country
Fabric_CN,Apparel_Import_S1,SUPPLIER_COST_BASE,CN
Factory_Import_CN,Apparel_Import_S1,MOM_PLANT_PROFIT,CN
SP_Apparel_Import,Apparel_Import_S1,OPERATION_NODE_COST_BASE,CN
DC_Import_Buffer,Apparel_Import_S1,OPERATION_NODE_COST_BASE,US
Sales_US_TX_I,Apparel_Import_S1,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_CA_I,Apparel_Import_S1,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_NY_I,Apparel_Import_S1,OUTBOUND_CHANNEL_PROFIT,US
Fabric_CN,Apparel_Import_S2,SUPPLIER_COST_BASE,CN
Factory_Import_CN,Apparel_Import_S2,MOM_PLANT_PROFIT,CN
SP_Apparel_Import,Apparel_Import_S2,OPERATION_NODE_COST_BASE,CN
DC_Import_Buffer,Apparel_Import_S2,OPERATION_NODE_COST_BASE,US
Sales_US_TX_I,Apparel_Import_S2,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_CA_I,Apparel_Import_S2,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_NY_I,Apparel_Import_S2,OUTBOUND_CHANNEL_PROFIT,US
Fabric_CN,Apparel_Import_S3,SUPPLIER_COST_BASE,CN
Factory_Import_CN,Apparel_Import_S3,MOM_PLANT_PROFIT,CN
SP_Apparel_Import,Apparel_Import_S3,OPERATION_NODE_COST_BASE,CN
DC_Import_Buffer,Apparel_Import_S3,OPERATION_NODE_COST_BASE,US
Sales_US_TX_I,Apparel_Import_S3,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_CA_I,Apparel_Import_S3,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_NY_I,Apparel_Import_S3,OUTBOUND_CHANNEL_PROFIT,US
Fabric_CN,Apparel_Import_S4,SUPPLIER_COST_BASE,CN
Factory_Import_CN,Apparel_Import_S4,MOM_PLANT_PROFIT,CN
SP_Apparel_Import,Apparel_Import_S4,OPERATION_NODE_COST_BASE,CN
DC_Import_Buffer,Apparel_Import_S4,OPERATION_NODE_COST_BASE,US
Sales_US_TX_I,Apparel_Import_S4,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_CA_I,Apparel_Import_S4,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_NY_I,Apparel_Import_S4,OUTBOUND_CHANNEL_PROFIT,US
Fabric_CN,Apparel_Import_S5,SUPPLIER_COST_BASE,CN
Factory_Import_CN,Apparel_Import_S5,MOM_PLANT_PROFIT,CN
SP_Apparel_Import,Apparel_Import_S5,OPERATION_NODE_COST_BASE,CN
DC_Import_Buffer,Apparel_Import_S5,OPERATION_NODE_COST_BASE,US
Sales_US_TX_I,Apparel_Import_S5,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_CA_I,Apparel_Import_S5,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_NY_I,Apparel_Import_S5,OUTBOUND_CHANNEL_PROFIT,US
Fabric_CN,Apparel_Import_S6,SUPPLIER_COST_BASE,CN
Factory_Import_CN,Apparel_Import_S6,MOM_PLANT_PROFIT,CN
SP_Apparel_Import,Apparel_Import_S6,OPERATION_NODE_COST_BASE,CN
DC_Import_Buffer,Apparel_Import_S6,OPERATION_NODE_COST_BASE,US
Sales_US_TX_I,Apparel_Import_S6,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_CA_I,Apparel_Import_S6,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_NY_I,Apparel_Import_S6,OUTBOUND_CHANNEL_PROFIT,US
Fabric_CN,Apparel_Import_S7,SUPPLIER_COST_BASE,CN
Factory_Import_CN,Apparel_Import_S7,MOM_PLANT_PROFIT,CN
SP_Apparel_Import,Apparel_Import_S7,OPERATION_NODE_COST_BASE,CN
DC_Import_Buffer,Apparel_Import_S7,OPERATION_NODE_COST_BASE,US
Sales_US_TX_I,Apparel_Import_S7,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_CA_I,Apparel_Import_S7,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_NY_I,Apparel_Import_S7,OUTBOUND_CHANNEL_PROFIT,US
Fabric_CN,Apparel_Import_S8,SUPPLIER_COST_BASE,CN
Factory_Import_CN,Apparel_Import_S8,MOM_PLANT_PROFIT,CN
SP_Apparel_Import,Apparel_Import_S8,OPERATION_NODE_COST_BASE,CN
DC_Import_Buffer,Apparel_Import_S8,OPERATION_NODE_COST_BASE,US
Sales_US_TX_I,Apparel_Import_S8,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_CA_I,Apparel_Import_S8,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_NY_I,Apparel_Import_S8,OUTBOUND_CHANNEL_PROFIT,US
Fabric_ES,Apparel_Local_S1,SUPPLIER_COST_BASE,ES
Factory_Local_ES,Apparel_Local_S1,MOM_PLANT_PROFIT,ES
SP_Apparel_Local,Apparel_Local_S1,OPERATION_NODE_COST_BASE,ES
DC_Local_US,Apparel_Local_S1,OPERATION_NODE_COST_BASE,US
Sales_US_TX_L,Apparel_Local_S1,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_CA_L,Apparel_Local_S1,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_NY_L,Apparel_Local_S1,OUTBOUND_CHANNEL_PROFIT,US
Fabric_ES,Apparel_Local_S2,SUPPLIER_COST_BASE,ES
Factory_Local_ES,Apparel_Local_S2,MOM_PLANT_PROFIT,ES
SP_Apparel_Local,Apparel_Local_S2,OPERATION_NODE_COST_BASE,ES
DC_Local_US,Apparel_Local_S2,OPERATION_NODE_COST_BASE,US
Sales_US_TX_L,Apparel_Local_S2,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_CA_L,Apparel_Local_S2,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_NY_L,Apparel_Local_S2,OUTBOUND_CHANNEL_PROFIT,US
Fabric_ES,Apparel_Local_S3,SUPPLIER_COST_BASE,ES
Factory_Local_ES,Apparel_Local_S3,MOM_PLANT_PROFIT,ES
SP_Apparel_Local,Apparel_Local_S3,OPERATION_NODE_COST_BASE,ES
DC_Local_US,Apparel_Local_S3,OPERATION_NODE_COST_BASE,US
Sales_US_TX_L,Apparel_Local_S3,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_CA_L,Apparel_Local_S3,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_NY_L,Apparel_Local_S3,OUTBOUND_CHANNEL_PROFIT,US
Fabric_ES,Apparel_Local_S4,SUPPLIER_COST_BASE,ES
Factory_Local_ES,Apparel_Local_S4,MOM_PLANT_PROFIT,ES
SP_Apparel_Local,Apparel_Local_S4,OPERATION_NODE_COST_BASE,ES
DC_Local_US,Apparel_Local_S4,OPERATION_NODE_COST_BASE,US
Sales_US_TX_L,Apparel_Local_S4,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_CA_L,Apparel_Local_S4,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_NY_L,Apparel_Local_S4,OUTBOUND_CHANNEL_PROFIT,US
Fabric_ES,Apparel_Local_S5,SUPPLIER_COST_BASE,ES
Factory_Local_ES,Apparel_Local_S5,MOM_PLANT_PROFIT,ES
SP_Apparel_Local,Apparel_Local_S5,OPERATION_NODE_COST_BASE,ES
DC_Local_US,Apparel_Local_S5,OPERATION_NODE_COST_BASE,US
Sales_US_TX_L,Apparel_Local_S5,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_CA_L,Apparel_Local_S5,OUTBOUND_CHANNEL_PROFIT,US
Sales_US_NY_L,Apparel_Local_S5,OUTBOUND_CHANNEL_PROFIT,US
Fabric_ES,Apparel_Local_S6,SUPPLIER_COST_BASE,ES
Factory_Local_ES,Apparel_Local_S6,MOM_PLANT_PROFIT,ES
