edge_id,from_country,to_country,product_id,hs_code,tariff_rate,tariff_basis
Factory_Import_CN->DC_Import_Buffer,CN,US,Apparel_Import_S1,6109100000,0.2,transfer_price
Factory_Import_CN->DC_Import_Buffer,CN,US,Apparel_Import_S2,6109100000,0.2,transfer_price
Factory_Import_CN->DC_Import_Buffer,CN,US,Apparel_Import_S3,6109100000,0.2,transfer_price
Factory_Import_CN->DC_Import_Buffer,CN,US,Apparel_Import_S4,6109100000,0.2,transfer_price
Factory_Import_CN->DC_Import_Buffer,CN,US,Apparel_Import_S5,6109100000,0.2,transfer_price
Factory_Import_CN->DC_Import_Buffer,CN,US,Apparel_Import_S6,6109100000,0.2,transfer_price
Factory_Import_CN->DC_Import_Buffer,CN,US,Apparel_Import_S7,6109100000,0.2,transfer_price
Factory_Import_CN->DC_Import_Buffer,CN,US,Apparel_Import_S8,6109100000,0.2,transfer_price
Factory_Local_ES->DC_Local_US,ES,US,Apparel_Local_S1,6109100000,0.15,transfer_price
Factory_Local_ES->DC_Local_US,ES,US,Apparel_Local_S2,6109100000,0.15,transfer_price
Factory_Local_ES->DC_Local_US,ES,US,Apparel_Local_S3,6109100000,0.15,transfer_price
Factory_Local_ES->DC_Local_US,ES,US,Apparel_Local_S4,6109100000,0.15,transfer_price
Factory_Local_ES->DC_Local_US,ES,US,Apparel_Local_S5,6109100000,0.15,transfer_price
Factory_Local_ES->DC_Local_US,ES,US,Apparel_Local_S6,6109100000,0.15,transfer_price
Factory_Local_ES->DC_Local_US,ES,US,Apparel_Local_S7,6109100000,0.15,transfer_price
Factory_Local_ES->DC_Local_US,ES,US,Apparel_Local_S8,6109100000,0.15,transfer_price
