node_id,product_id,profit_zone_role,country
Ingredients_CN,OREO_JP,SUPPLIER_COST_BASE,CN
Factory_OREO_CN,OREO_JP,MOM_PLANT_PROFIT,CN
SP_OREO_JP,OREO_JP,OPERATION_NODE_COST_BASE,JP
DC_JP_BONDED,OREO_JP,OPERATION_NODE_COST_BASE,JP
DC_JP_MAIN,OREO_JP,OPERATION_NODE_COST_BASE,JP
Retail_JP_CVS,OREO_JP,OUTBOUND_CHANNEL_PROFIT,JP
Retail_JP_SM,OREO_JP,OUTBOUND_CHANNEL_PROFIT,JP
Retail_JP_EC,OREO_JP,OUTBOUND_CHANNEL_PROFIT,JP
Ingredients_JP,LUVAN_JP,SUPPLIER_COST_BASE,JP
Factory_LUVAN_JP,LUVAN_JP,MOM_PLANT_PROFIT,JP
SP_LUVAN_JP,LUVAN_JP,OPERATION_NODE_COST_BASE,JP
DC_LUVAN_JP,LUVAN_JP,OPERATION_NODE_COST_BASE,JP
Retail_JP_CVS,LUVAN_JP,OUTBOUND_CHANNEL_PROFIT,JP
Retail_JP_SM,LUVAN_JP,OUTBOUND_CHANNEL_PROFIT,JP
Retail_JP_EC,LUVAN_JP,OUTBOUND_CHANNEL_PROFIT,JP
