node_name,parent_node,product_name,node_type,side,lt_wks,cpu_size,region,ss_days,buffering_stock_flag,description
SP_OREO_JP,,OREO_JP,supply_point,outbound,0,1,,0,0,Supply Point bridge OT/IN (OREO)
DC_JP_BONDED,SP_OREO_JP,OREO_JP,dad,outbound,5,1,JP,21,1,輸入保税倉庫 横浜港 (Decoupling Point)
DC_JP_MAIN,DC_JP_BONDED,OREO_JP,dad,outbound,1,1,JP,7,0,国内配送センター 東京
Retail_JP_CVS,DC_JP_MAIN,OREO_JP,leaf_out,outbound,1,1,CVS,0,0,コンビニエンスストア チャネル
Retail_JP_SM,DC_JP_MAIN,OREO_JP,leaf_out,outbound,1,1,SM,0,0,スーパーマーケット チャネル
Retail_JP_EC,DC_JP_MAIN,OREO_JP,leaf_out,outbound,1,1,EC,0,0,EC・ドラッグストア チャネル
Factory_OREO_CN,,OREO_JP,mom,inbound,1,1,CN,7,0,北京クッキー工場 (Mother of Mfg)
Ingredients_CN,Factory_OREO_CN,OREO_JP,leaf_in,inbound,2,1,CN,0,0,小麦粉・ブドウ糖・カカオ (中国調達)
SP_LUVAN_JP,,LUVAN_JP,supply_point,outbound,0,1,,0,0,Supply Point bridge OT/IN (LUVAN)
DC_LUVAN_JP,SP_LUVAN_JP,LUVAN_JP,dad,outbound,1,1,JP,3,0,山崎製パン物流 DC（パン便相乗り）
Retail_JP_CVS,DC_LUVAN_JP,LUVAN_JP,leaf_out,outbound,1,1,CVS,0,0,コンビニエンスストア チャネル
Retail_JP_SM,DC_LUVAN_JP,LUVAN_JP,leaf_out,outbound,1,1,SM,0,0,スーパーマーケット チャネル
Retail_JP_EC,DC_LUVAN_JP,LUVAN_JP,leaf_out,outbound,1,1,EC,0,0,EC・ドラッグストア チャネル
Factory_LUVAN_JP,,LUVAN_JP,mom,inbound,1,1,JP,3,0,国内ビスケット工場 埼玉
Ingredients_JP,Factory_LUVAN_JP,LUVAN_JP,leaf_in,inbound,1,1,JP,0,0,小麦粉・植物油脂 (国内調達)
