week,currency,base_currency,rate
2026-W01,EUR,JPY,165.00
2026-W01,HUF,JPY,0.420
2026-W01,USD,JPY,150.03
2026-W02,EUR,JPY,165.00
2026-W02,HUF,JPY,0.420
2026-W02,USD,JPY,150.03
2026-W03,EUR,JPY,165.00
2026-W03,HUF,JPY,0.420
2026-W03,USD,JPY,150.03
2026-W04,EUR,JPY,165.00
2026-W04,HUF,JPY,0.420
2026-W04,USD,JPY,150.03
2026-W05,EUR,JPY,165.00
2026-W05,HUF,JPY,0.420
2026-W05,USD,JPY,150.03
2026-W06,EUR,JPY,165.00
2026-W06,HUF,JPY,0.420
2026-W06,USD,JPY,150.03
2026-W07,EUR,JPY,165.00
2026-W07,HUF,JPY,0.420
2026-W07,USD,JPY,150.03
2026-W08,EUR,JPY,165.00
2026-W08,HUF,JPY,0.420
2026-W08,USD,JPY,150.03
2026-W09,EUR,JPY,165.00
2026-W09,HUF,JPY,0.420
2026-W09,USD,JPY,150.03
2026-W10,EUR,JPY,165.00
2026-W10,HUF,JPY,0.420
2026-W10,USD,JPY,150.03
2026-W11,EUR,JPY,165.00
2026-W11,HUF,JPY,0.420
2026-W11,USD,JPY,150.03
2026-W12,EUR,JPY,165.00
2026-W12,HUF,JPY,0.420
2026-W12,USD,JPY,150.03
2026-W13,EUR,JPY,165.00
2026-W13,HUF,JPY,0.420
2026-W13,USD,JPY,150.03
2026-W14,EUR,JPY,165.00
2026-W14,HUF,JPY,0.420
2026-W14,USD,JPY,150.03
2026-W15,EUR,JPY,165.00
2026-W15,HUF,JPY,0.420
2026-W15,USD,JPY,150.03
2026-W16,EUR,JPY,165.00
2026-W16,HUF,JPY,0.420
2026-W16,USD,JPY,150.03
2026-W17,EUR,JPY,165.00
2026-W17,HUF,JPY,0.420
2026-W17,USD,JPY,150.03
2026-W18,EUR,JPY,165.00
2026-W18,HUF,JPY,0.420
2026-W18,USD,JPY,150.03
2026-W19,EUR,JPY,165.00
2026-W19,HUF,JPY,0.420
2026-W19,USD,JPY,150.03
2026-W20,EUR,JPY,165.00
2026-W20,HUF,JPY,0.420
2026-W20,USD,JPY,150.03
2026-W21,EUR,JPY,165.00
2026-W21,HUF,JPY,0.420
2026-W21,USD,JPY,150.03
2026-W22,EUR,JPY,165.00
2026-W22,HUF,JPY,0.420
2026-W22,USD,JPY,150.03
2026-W23,EUR,JPY,165.00
2026-W23,HUF,JPY,0.420
2026-W23,USD,JPY,150.03
2026-W24,EUR,JPY,165.00
2026-W24,HUF,JPY,0.420
2026-W24,USD,JPY,150.03
2026-W25,EUR,JPY,165.00
2026-W25,HUF,JPY,0.420
2026-W25,USD,JPY,150.03
2026-W26,EUR,JPY,165.00
2026-W26,HUF,JPY,0.420
2026-W26,USD,JPY,150.03
2026-W27,EUR,JPY,165.00
