sku_id,region,week,quantity
BYD_ATTO3,BKK,2026-W02,275
BYD_ATTO3,PRO,2026-W02,220
BYD_ATTO3,ONL,2026-W02,55
TESLA_M3,BKK,2026-W02,55
TESLA_M3,PRO,2026-W02,44
TESLA_M3,ONL,2026-W02,11
BYD_ATTO3,BKK,2026-W03,275
BYD_ATTO3,PRO,2026-W03,220
BYD_ATTO3,ONL,2026-W03,55
TESLA_M3,BKK,2026-W03,55
TESLA_M3,PRO,2026-W03,44
TESLA_M3,ONL,2026-W03,11
BYD_ATTO3,BKK,2026-W04,275
BYD_ATTO3,PRO,2026-W04,220
BYD_ATTO3,ONL,2026-W04,55
TESLA_M3,BKK,2026-W04,55
TESLA_M3,PRO,2026-W04,44
TESLA_M3,ONL,2026-W04,11
BYD_ATTO3,BKK,2026-W05,250
BYD_ATTO3,PRO,2026-W05,200
BYD_ATTO3,ONL,2026-W05,50
TESLA_M3,BKK,2026-W05,50
TESLA_M3,PRO,2026-W05,40
TESLA_M3,ONL,2026-W05,10
BYD_ATTO3,BKK,2026-W06,250
BYD_ATTO3,PRO,2026-W06,200
BYD_ATTO3,ONL,2026-W06,50
TESLA_M3,BKK,2026-W06,50
TESLA_M3,PRO,2026-W06,40
TESLA_M3,ONL,2026-W06,10
BYD_ATTO3,BKK,2026-W07,250
BYD_ATTO3,PRO,2026-W07,200
BYD_ATTO3,ONL,2026-W07,50
TESLA_M3,BKK,2026-W07,50
TESLA_M3,PRO,2026-W07,40
TESLA_M3,ONL,2026-W07,10
BYD_ATTO3,BKK,2026-W08,250
BYD_ATTO3,PRO,2026-W08,200
BYD_ATTO3,ONL,2026-W08,50
TESLA_M3,BKK,2026-W08,50
TESLA_M3,PRO,2026-W08,40
TESLA_M3,ONL,2026-W08,10
BYD_ATTO3,BKK,2026-W09,250
BYD_ATTO3,PRO,2026-W09,200
BYD_ATTO3,ONL,2026-W09,50
TESLA_M3,BKK,2026-W09,50
TESLA_M3,PRO,2026-W09,40
TESLA_M3,ONL,2026-W09,10
BYD_ATTO3,BKK,2026-W10,250
BYD_ATTO3,PRO,2026-W10,200
BYD_ATTO3,ONL,2026-W10,50
TESLA_M3,BKK,2026-W10,50
TESLA_M3,PRO,2026-W10,40
TESLA_M3,ONL,2026-W10,10
BYD_ATTO3,BKK,2026-W11,250
BYD_ATTO3,PRO,2026-W11,200
BYD_ATTO3,ONL,2026-W11,50
TESLA_M3,BKK,2026-W11,50
TESLA_M3,PRO,2026-W11,40
TESLA_M3,ONL,2026-W11,10
BYD_ATTO3,BKK,2026-W12,250
BYD_ATTO3,PRO,2026-W12,200
BYD_ATTO3,ONL,2026-W12,50
TESLA_M3,BKK,2026-W12,50
TESLA_M3,PRO,2026-W12,40
TESLA_M3,ONL,2026-W12,10
BYD_ATTO3,BKK,2026-W13,250
BYD_ATTO3,PRO,2026-W13,200
BYD_ATTO3,ONL,2026-W13,50
TESLA_M3,BKK,2026-W13,50
TESLA_M3,PRO,2026-W13,40
TESLA_M3,ONL,2026-W13,10
