node_name,week,event_type,demand_multiplier,note
Sales_TH_BKK,2026-W14,closure,0.5,Songkran ディーラー営業縮小
Sales_TH_PRO,2026-W14,closure,0.5,Songkran 地方ディーラー縮小
Sales_TH_BKK_t,2026-W14,closure,0.5,Songkran Teslaショールーム縮小
Sales_TH_BKK,2026-W15,closure,0.5,Songkran ディーラー営業縮小
Sales_TH_PRO,2026-W15,closure,0.5,Songkran 地方ディーラー縮小
Sales_TH_BKK_t,2026-W15,closure,0.5,Songkran Teslaショールーム縮小
Sales_TH_BKK,2027-W14,closure,0.5,Songkran ディーラー営業縮小
Sales_TH_PRO,2027-W14,closure,0.5,Songkran 地方ディーラー縮小
Sales_TH_BKK_t,2027-W14,closure,0.5,Songkran Teslaショールーム縮小
Sales_TH_BKK,2027-W15,closure,0.5,Songkran ディーラー営業縮小
Sales_TH_PRO,2027-W15,closure,0.5,Songkran 地方ディーラー縮小
Sales_TH_BKK_t,2027-W15,closure,0.5,Songkran Teslaショールーム縮小
Factory_BYD_TH,2026-W32,closure,1.0,ラヨーン工場 定期整備停止
Factory_BYD_TH,2027-W32,closure,1.0,ラヨーン工場 定期整備停止
Factory_TESLA_CN,2026-W40,closure,1.0,上海工場 国慶節休暇
Factory_TESLA_CN,2026-W41,closure,1.0,上海工場 国慶節休暇
Factory_TESLA_CN,2027-W40,closure,1.0,上海工場 国慶節休暇
Factory_TESLA_CN,2027-W41,closure,1.0,上海工場 国慶節休暇
