node_id,product_id,profit_zone_role,country
Battery_CN,BYD_ATTO3,SUPPLIER_COST_BASE,CN
Factory_BYD_TH,BYD_ATTO3,MOM_PLANT_PROFIT,TH
SP_BYD_TH,BYD_ATTO3,OPERATION_NODE_COST_BASE,TH
DC_BYD_TH,BYD_ATTO3,OPERATION_NODE_COST_BASE,TH
Sales_TH_BKK,BYD_ATTO3,OUTBOUND_CHANNEL_PROFIT,TH
Sales_TH_PRO,BYD_ATTO3,OUTBOUND_CHANNEL_PROFIT,TH
Sales_TH_ONL,BYD_ATTO3,OUTBOUND_CHANNEL_PROFIT,TH
Components_CN_T,TESLA_M3,SUPPLIER_COST_BASE,CN
Factory_TESLA_CN,TESLA_M3,MOM_PLANT_PROFIT,CN
SP_TESLA_TH,TESLA_M3,OPERATION_NODE_COST_BASE,CN
DC_TESLA_TH,TESLA_M3,OPERATION_NODE_COST_BASE,TH
Sales_TH_BKK_t,TESLA_M3,OUTBOUND_CHANNEL_PROFIT,TH
Sales_TH_PRO_t,TESLA_M3,OUTBOUND_CHANNEL_PROFIT,TH
Sales_TH_ONL_t,TESLA_M3,OUTBOUND_CHANNEL_PROFIT,TH
