week,currency,base_currency,rate
2026-W01,THB,JPY,4.250
2026-W01,CNY,JPY,21.005
2026-W01,USD,JPY,150.03
2026-W02,THB,JPY,4.250
2026-W02,CNY,JPY,21.005
2026-W02,USD,JPY,150.03
2026-W03,THB,JPY,4.250
2026-W03,CNY,JPY,21.005
2026-W03,USD,JPY,150.03
2026-W04,THB,JPY,4.250
2026-W04,CNY,JPY,21.005
2026-W04,USD,JPY,150.03
2026-W05,THB,JPY,4.250
2026-W05,CNY,JPY,21.005
2026-W05,USD,JPY,150.03
2026-W06,THB,JPY,4.250
2026-W06,CNY,JPY,21.005
2026-W06,USD,JPY,150.03
2026-W07,THB,JPY,4.250
2026-W07,CNY,JPY,21.005
2026-W07,USD,JPY,150.03
2026-W08,THB,JPY,4.250
2026-W08,CNY,JPY,21.005
2026-W08,USD,JPY,150.03
2026-W09,THB,JPY,4.250
2026-W09,CNY,JPY,21.005
2026-W09,USD,JPY,150.03
2026-W10,THB,JPY,4.250
2026-W10,CNY,JPY,21.005
2026-W10,USD,JPY,150.03
2026-W11,THB,JPY,4.250
2026-W11,CNY,JPY,21.005
2026-W11,USD,JPY,150.03
2026-W12,THB,JPY,4.250
2026-W12,CNY,JPY,21.005
2026-W12,USD,JPY,150.03
2026-W13,THB,JPY,4.250
2026-W13,CNY,JPY,21.005
2026-W13,USD,JPY,150.03
2026-W14,THB,JPY,4.250
2026-W14,CNY,JPY,21.005
2026-W14,USD,JPY,150.03
2026-W15,THB,JPY,4.250
2026-W15,CNY,JPY,21.005
2026-W15,USD,JPY,150.03
2026-W16,THB,JPY,4.250
2026-W16,CNY,JPY,21.005
2026-W16,USD,JPY,150.03
2026-W17,THB,JPY,4.250
2026-W17,CNY,JPY,21.005
2026-W17,USD,JPY,150.03
2026-W18,THB,JPY,4.250
2026-W18,CNY,JPY,21.005
2026-W18,USD,JPY,150.03
2026-W19,THB,JPY,4.250
2026-W19,CNY,JPY,21.005
2026-W19,USD,JPY,150.03
2026-W20,THB,JPY,4.250
2026-W20,CNY,JPY,21.005
2026-W20,USD,JPY,150.03
2026-W21,THB,JPY,4.250
2026-W21,CNY,JPY,21.005
2026-W21,USD,JPY,150.03
2026-W22,THB,JPY,4.250
2026-W22,CNY,JPY,21.005
2026-W22,USD,JPY,150.03
2026-W23,THB,JPY,4.250
2026-W23,CNY,JPY,21.005
2026-W23,USD,JPY,150.03
2026-W24,THB,JPY,4.250
2026-W24,CNY,JPY,21.005
2026-W24,USD,JPY,150.03
2026-W25,THB,JPY,4.250
2026-W25,CNY,JPY,21.005
2026-W25,USD,JPY,150.03
2026-W26,THB,JPY,4.250
2026-W26,CNY,JPY,21.005
2026-W26,USD,JPY,150.03
2026-W27,THB,JPY,4.250
2026-W27,CNY,JPY,21.005
2026-W27,USD,JPY,150.03
2026-W28,THB,JPY,4.250
2026-W28,CNY,JPY,21.005
2026-W28,USD,JPY,150.03
2026-W29,THB,JPY,4.250
2026-W29,CNY,JPY,21.005
2026-W29,USD,JPY,150.03
2026-W30,THB,JPY,4.250
2026-W30,CNY,JPY,21.005
2026-W30,USD,JPY,150.03
2026-W31,THB,JPY,4.250
2026-W31,CNY,JPY,21.005
2026-W31,USD,JPY,150.03
2026-W32,THB,JPY,4.250
2026-W32,CNY,JPY,21.005
2026-W32,USD,JPY,150.03
2026-W33,THB,JPY,4.250
2026-W33,CNY,JPY,21.005
2026-W33,USD,JPY,150.03
2026-W34,THB,JPY,4.250
2026-W34,CNY,JPY,21.005
2026-W34,USD,JPY,150.03
2026-W35,THB,JPY,4.250
2026-W35,CNY,JPY,21.005
2026-W35,USD,JPY,150.03
2026-W36,THB,JPY,4.250
2026-W36,CNY,JPY,21.005
2026-W36,USD,JPY,150.03
2026-W37,THB,JPY,4.250
2026-W37,CNY,JPY,21.005
2026-W37,USD,JPY,150.03
2026-W38,THB,JPY,4.250
2026-W38,CNY,JPY,21.005
2026-W38,USD,JPY,150.03
2026-W39,THB,JPY,4.250
2026-W39,CNY,JPY,21.005
2026-W39,USD,JPY,150.03
2026-W40,THB,JPY,4.250
2026-W40,CNY,JPY,21.005
2026-W40,USD,JPY,150.03
2026-W41,THB,JPY,4.250
2026-W41,CNY,JPY,21.005
2026-W41,USD,JPY,150.03
2026-W42,THB,JPY,4.250
2026-W42,CNY,JPY,21.005
2026-W42,USD,JPY,150.03
2026-W43,THB,JPY,4.250
2026-W43,CNY,JPY,21.005
2026-W43,USD,JPY,150.03
2026-W44,THB,JPY,4.250
2026-W44,CNY,JPY,21.005
2026-W44,USD,JPY,150.03
2026-W45,THB,JPY,4.250
2026-W45,CNY,JPY,21.005
2026-W45,USD,JPY,150.03
2026-W46,THB,JPY,4.250
2026-W46,CNY,JPY,21.005
2026-W46,USD,JPY,150.03
2026-W47,THB,JPY,4.250
2026-W47,CNY,JPY,21.005
2026-W47,USD,JPY,150.03
2026-W48,THB,JPY,4.250
2026-W48,CNY,JPY,21.005
2026-W48,USD,JPY,150.03
2026-W49,THB,JPY,4.250
2026-W49,CNY,JPY,21.005
2026-W49,USD,JPY,150.03
2026-W50,THB,JPY,4.250
2026-W50,CNY,JPY,21.005
2026-W50,USD,JPY,150.03
2026-W51,THB,JPY,4.250
2026-W51,CNY,JPY,21.005
2026-W51,USD,JPY,150.03
2026-W52,THB,JPY,4.250
2026-W52,CNY,JPY,21.005
2026-W52,USD,JPY,150.03
2026-W53,THB,JPY,4.250
2026-W53,CNY,JPY,21.005
2026-W53,USD,JPY,150.03
2027-W01,THB,JPY,4.250
2027-W01,CNY,JPY,21.005
2027-W01,USD,JPY,150.03
2027-W02,THB,JPY,4.250
2027-W02,CNY,JPY,21.005
2027-W02,USD,JPY,150.03
2027-W03,THB,JPY,4.250
2027-W03,CNY,JPY,21.005
2027-W03,USD,JPY,150.03
2027-W04,THB,JPY,4.250
2027-W04,CNY,JPY,21.005
2027-W04,USD,JPY,150.03
2027-W05,THB,JPY,4.250
2027-W05,CNY,JPY,21.005
2027-W05,USD,JPY,150.03
2027-W06,THB,JPY,4.250
2027-W06,CNY,JPY,21.005
2027-W06,USD,JPY,150.03
2027-W07,THB,JPY,4.250
2027-W07,CNY,JPY,21.005
2027-W07,USD,JPY,150.03
2027-W08,THB,JPY,4.250
2027-W08,CNY,JPY,21.005
2027-W08,USD,JPY,150.03
2027-W09,THB,JPY,4.250
2027-W09,CNY,JPY,21.005
2027-W09,USD,JPY,150.03
2027-W10,THB,JPY,4.250
2027-W10,CNY,JPY,21.005
2027-W10,USD,JPY,150.03
2027-W11,THB,JPY,4.250
2027-W11,CNY,JPY,21.005
2027-W11,USD,JPY,150.03
2027-W12,THB,JPY,4.250
2027-W12,CNY,JPY,21.005
2027-W12,USD,JPY,150.03
2027-W13,THB,JPY,4.250
2027-W13,CNY,JPY,21.005
2027-W13,USD,JPY,150.03
2027-W14,THB,JPY,4.250
2027-W14,CNY,JPY,21.005
2027-W14,USD,JPY,150.03
2027-W15,THB,JPY,4.250
2027-W15,CNY,JPY,21.005
2027-W15,USD,JPY,150.03
2027-W16,THB,JPY,4.250
2027-W16,CNY,JPY,21.005
2027-W16,USD,JPY,150.03
2027-W17,THB,JPY,4.250
2027-W17,CNY,JPY,21.005
2027-W17,USD,JPY,150.03
2027-W18,THB,JPY,4.250
2027-W18,CNY,JPY,21.005
2027-W18,USD,JPY,150.03
2027-W19,THB,JPY,4.250
2027-W19,CNY,JPY,21.005
2027-W19,USD,JPY,150.03
2027-W20,THB,JPY,4.250
2027-W20,CNY,JPY,21.005
2027-W20,USD,JPY,150.03
2027-W21,THB,JPY,4.250
2027-W21,CNY,JPY,21.005
2027-W21,USD,JPY,150.03
2027-W22,THB,JPY,4.250
2027-W22,CNY,JPY,21.005
2027-W22,USD,JPY,150.03
2027-W23,THB,JPY,4.250
2027-W23,CNY,JPY,21.005
2027-W23,USD,JPY,150.03
2027-W24,THB,JPY,4.250
2027-W24,CNY,JPY,21.005
2027-W24,USD,JPY,150.03
2027-W25,THB,JPY,4.250
2027-W25,CNY,JPY,21.005
2027-W25,USD,JPY,150.03
2027-W26,THB,JPY,4.250
2027-W26,CNY,JPY,21.005
2027-W26,USD,JPY,150.03
2027-W27,THB,JPY,4.250
2027-W27,CNY,JPY,21.005
2027-W27,USD,JPY,150.03
2027-W28,THB,JPY,4.250
2027-W28,CNY,JPY,21.005
2027-W28,USD,JPY,150.03
2027-W29,THB,JPY,4.250
2027-W29,CNY,JPY,21.005
2027-W29,USD,JPY,150.03
2027-W30,THB,JPY,4.250
2027-W30,CNY,JPY,21.005
2027-W30,USD,JPY,150.03
2027-W31,THB,JPY,4.250
2027-W31,CNY,JPY,21.005
2027-W31,USD,JPY,150.03
2027-W32,THB,JPY,4.250
2027-W32,CNY,JPY,21.005
2027-W32,USD,JPY,150.03
2027-W33,THB,JPY,4.250
2027-W33,CNY,JPY,21.005
2027-W33,USD,JPY,150.03
2027-W34,THB,JPY,4.250
2027-W34,CNY,JPY,21.005
2027-W34,USD,JPY,150.03
2027-W35,THB,JPY,4.250
2027-W35,CNY,JPY,21.005
2027-W35,USD,JPY,150.03
2027-W36,THB,JPY,4.250
2027-W36,CNY,JPY,21.005
2027-W36,USD,JPY,150.03
2027-W37,THB,JPY,4.250
2027-W37,CNY,JPY,21.005
2027-W37,USD,JPY,150.03
2027-W38,THB,JPY,4.250
2027-W38,CNY,JPY,21.005
2027-W38,USD,JPY,150.03
2027-W39,THB,JPY,4.250
2027-W39,CNY,JPY,21.005
2027-W39,USD,JPY,150.03
2027-W40,THB,JPY,4.250
2027-W40,CNY,JPY,21.005
2027-W40,USD,JPY,150.03
2027-W41,THB,JPY,4.250
2027-W41,CNY,JPY,21.005
2027-W41,USD,JPY,150.03
2027-W42,THB,JPY,4.250
2027-W42,CNY,JPY,21.005
2027-W42,USD,JPY,150.03
2027-W43,THB,JPY,4.250
2027-W43,CNY,JPY,21.005
2027-W43,USD,JPY,150.03
2027-W44,THB,JPY,4.250
2027-W44,CNY,JPY,21.005
2027-W44,USD,JPY,150.03
2027-W45,THB,JPY,4.250
2027-W45,CNY,JPY,21.005
2027-W45,USD,JPY,150.03
2027-W46,THB,JPY,4.250
2027-W46,CNY,JPY,21.005
2027-W46,USD,JPY,150.03
2027-W47,THB,JPY,4.250
2027-W47,CNY,JPY,21.005
2027-W47,USD,JPY,150.03
2027-W48,THB,JPY,4.250
2027-W48,CNY,JPY,21.005
2027-W48,USD,JPY,150.03
2027-W49,THB,JPY,4.250
2027-W49,CNY,JPY,21.005
2027-W49,USD,JPY,150.03
2027-W50,THB,JPY,4.250
2027-W50,CNY,JPY,21.005
2027-W50,USD,JPY,150.03
2027-W51,THB,JPY,4.250
2027-W51,CNY,JPY,21.005
2027-W51,USD,JPY,150.03
