sku_id,region,on_hand,on_order,first_receipt_wk
SKU-A001,APAC,2733,81,2024-W03
SKU-A001,EMEA,1078,694,2024-W03
SKU-A001,AMER,661,408,2024-W05
SKU-A002,APAC,1539,207,2024-W05
SKU-A002,EMEA,1474,770,2024-W02
SKU-A002,AMER,2642,766,2024-W05
SKU-B001,APAC,1692,943,2024-W04
SKU-B001,EMEA,2384,853,2024-W05
SKU-B001,AMER,1846,735,2024-W03
SKU-B002,APAC,1721,273,2024-W05
SKU-B002,EMEA,573,336,2024-W05
SKU-B002,AMER,2310,841,2024-W03
SKU-C001,APAC,2952,534,2024-W05
SKU-C001,EMEA,1980,663,2024-W02
SKU-C001,AMER,2107,136,2024-W05
