node_id,node_name,node_type,lat,lon,sku_id,region,description
SP_iPhone16,SP_iPhone16,supply_point,34.6937,135.5023,,,"iPhone16 Supply Point Bridge"
SP_iPhone15,SP_iPhone15,supply_point,34.6937,135.5023,,,"iPhone15 Supply Point Bridge"
SP_iPhone17,SP_iPhone17,supply_point,34.6937,135.5023,,,"iPhone17 Supply Point Bridge"
Foxconn_CN,Foxconn_CN,mother_plant,34.7466,113.6253,,CN,"Final Assembly — Foxconn Zhengzhou"
Foxconn_IN,Foxconn_IN,mother_plant,18.5204,73.8567,,IN,"Final Assembly — Foxconn Pune (India)"
TSMC_TW,TSMC_TW,sku_supplier,24.7881,120.9970,iPhone16,TW,"A18 SoC Wafer Fab"
TSMC_TW_i15,TSMC_TW_i15,sku_supplier,23.0013,120.2140,iPhone15,TW,"A16 SoC Wafer Fab"
TSMC_TW_i17,TSMC_TW_i17,sku_supplier,24.7881,120.9970,iPhone17,TW,"A19 SoC Wafer Fab"
SiliconWafer_TW,SiliconWafer_TW,sku_supplier,25.0330,121.5654,,TW,"Silicon Wafer Supplier"
SiliconWafer_TW_i15,SiliconWafer_TW_i15,sku_supplier,25.0330,121.5654,,TW,"Silicon Wafer (iPhone15)"
SiliconWafer_TW_i17,SiliconWafer_TW_i17,sku_supplier,25.0330,121.5654,,TW,"Silicon Wafer (iPhone17)"
BoschSensor_IN,BoschSensor_IN,sku_supplier,12.9716,77.5946,,IN,"Sensors & Modules India"
DC_AMER,DC_AMER,region_dc,33.9425,-118.4081,,AMER,"Americas DC Los Angeles"
DC_EMEA,DC_EMEA,region_dc,52.3676,4.9041,,EMEA,"EMEA DC Amsterdam"
DC_APAC,DC_APAC,region_dc,1.3521,103.8198,,APAC,"APAC DC Singapore"
Retail_AMER,Retail_AMER,retail,,,AMER,"Americas Retail"
Retail_EMEA,Retail_EMEA,retail,,,EMEA,"EMEA Retail"
Retail_APAC,Retail_APAC,retail,,,APAC,"APAC Retail"
Retail_AMER_i15,Retail_AMER_i15,retail,,,AMER,"Americas Retail iPhone15"
Retail_EMEA_i15,Retail_EMEA_i15,retail,,,EMEA,"EMEA Retail iPhone15"
Retail_APAC_i15,Retail_APAC_i15,retail,,,APAC,"APAC Retail iPhone15"
Retail_AMER_i17,Retail_AMER_i17,retail,,,AMER,"Americas Retail iPhone17"
Retail_EMEA_i17,Retail_EMEA_i17,retail,,,EMEA,"EMEA Retail iPhone17"
Retail_APAC_i17,Retail_APAC_i17,retail,,,APAC,"APAC Retail iPhone17"
