node_id,product_id,profit_zone_role,country
SiliconWafer_TW,iPhone16,SUPPLIER_COST_BASE,TW
BoschSensor_IN,iPhone16,SUPPLIER_COST_BASE,IN
TSMC_TW,iPhone16,MOM_PLANT_PROFIT,TW
Foxconn_CN,iPhone16,MOM_PLANT_PROFIT,CN
Foxconn_IN,iPhone16,MOM_PLANT_PROFIT,IN
SP_iPhone16,iPhone16,OPERATION_NODE_COST_BASE,CN
DC_AMER,iPhone16,OPERATION_NODE_COST_BASE,US
DC_EMEA,iPhone16,OPERATION_NODE_COST_BASE,NL
DC_APAC,iPhone16,OPERATION_NODE_COST_BASE,SG
Retail_AMER,iPhone16,OUTBOUND_CHANNEL_PROFIT,US
Retail_EMEA,iPhone16,OUTBOUND_CHANNEL_PROFIT,EU
Retail_APAC,iPhone16,OUTBOUND_CHANNEL_PROFIT,SG
SiliconWafer_TW_i15,iPhone15,SUPPLIER_COST_BASE,TW
TSMC_TW_i15,iPhone15,MOM_PLANT_PROFIT,TW
Foxconn_CN_i15,iPhone15,MOM_PLANT_PROFIT,CN
SP_iPhone15,iPhone15,OPERATION_NODE_COST_BASE,CN
DC_AMER_i15,iPhone15,OPERATION_NODE_COST_BASE,US
DC_EMEA_i15,iPhone15,OPERATION_NODE_COST_BASE,NL
DC_APAC_i15,iPhone15,OPERATION_NODE_COST_BASE,SG
Retail_AMER_i15,iPhone15,OUTBOUND_CHANNEL_PROFIT,US
Retail_EMEA_i15,iPhone15,OUTBOUND_CHANNEL_PROFIT,EU
Retail_APAC_i15,iPhone15,OUTBOUND_CHANNEL_PROFIT,SG
SiliconWafer_TW_i17,iPhone17,SUPPLIER_COST_BASE,TW
TSMC_TW_i17,iPhone17,MOM_PLANT_PROFIT,TW
Foxconn_CN_i17,iPhone17,MOM_PLANT_PROFIT,CN
SP_iPhone17,iPhone17,OPERATION_NODE_COST_BASE,CN
DC_AMER_i17,iPhone17,OPERATION_NODE_COST_BASE,US
DC_EMEA_i17,iPhone17,OPERATION_NODE_COST_BASE,NL
DC_APAC_i17,iPhone17,OPERATION_NODE_COST_BASE,SG
Retail_AMER_i17,iPhone17,OUTBOUND_CHANNEL_PROFIT,US
Retail_EMEA_i17,iPhone17,OUTBOUND_CHANNEL_PROFIT,EU
Retail_APAC_i17,iPhone17,OUTBOUND_CHANNEL_PROFIT,SG
SP_iPhone16,iPhone16,OPERATION_NODE_COST_BASE,CN
SP_iPhone15,iPhone15,OPERATION_NODE_COST_BASE,CN
SP_iPhone17,iPhone17,OPERATION_NODE_COST_BASE,CN
