profit_zone_role,product_id,profit_type,basis,rate,fixed_amount
OUTBOUND_CHANNEL_PROFIT,iPhone16,channel_margin,market_price,0.15,0
MOM_PLANT_PROFIT,iPhone16,mom_margin,transfer_price,0.10,0
GLOBAL_HQ_PROFIT,iPhone16,brand_royalty,market_price,0.05,0
GLOBAL_HQ_PROFIT,iPhone16,global_marketing,revenue,0.02,0
OUTBOUND_CHANNEL_PROFIT,iPhone15,channel_margin,market_price,0.15,0
MOM_PLANT_PROFIT,iPhone15,mom_margin,transfer_price,0.10,0
GLOBAL_HQ_PROFIT,iPhone15,brand_royalty,market_price,0.05,0
GLOBAL_HQ_PROFIT,iPhone15,global_marketing,revenue,0.02,0
OUTBOUND_CHANNEL_PROFIT,iPhone17,channel_margin,market_price,0.15,0
MOM_PLANT_PROFIT,iPhone17,mom_margin,transfer_price,0.10,0
GLOBAL_HQ_PROFIT,iPhone17,brand_royalty,market_price,0.05,0
GLOBAL_HQ_PROFIT,iPhone17,global_marketing,revenue,0.02,0
