supplier_node,product_id,week,purchase_price,currency
SiliconWafer_TW,iPhone16,2027-W01,50000,USD
TSMC_TW,iPhone16,2027-W01,380000,USD
BoschSensor_IN,iPhone16,2027-W01,160000,USD
Foxconn_CN,iPhone16,2027-W01,4500000,USD
Foxconn_IN,iPhone16,2027-W01,4700000,USD
SiliconWafer_TW_i15,iPhone15,2027-W01,40000,USD
TSMC_TW_i15,iPhone15,2027-W01,280000,USD
Foxconn_CN_i15,iPhone15,2027-W01,3200000,USD
SiliconWafer_TW_i17,iPhone17,2027-W01,55000,USD
TSMC_TW_i17,iPhone17,2027-W01,420000,USD
Foxconn_CN_i17,iPhone17,2027-W01,4900000,USD
