edge_id,from_country,to_country,product_id,hs_code,tariff_rate,tariff_basis
Foxconn_CN->SP_iPhone16,CN,CN,iPhone16,8517120000,0.00,transfer_price
SP_iPhone16->Retail_AMER,CN,US,iPhone16,8517120000,0.25,transfer_price
SP_iPhone16->Retail_EMEA,CN,EU,iPhone16,8517120000,0.075,transfer_price
SP_iPhone16->Retail_APAC,CN,SG,iPhone16,8517120000,0.00,transfer_price
Foxconn_CN_i15->SP_iPhone15,CN,CN,iPhone15,8517120000,0.00,transfer_price
SP_iPhone15->Retail_AMER_i15,CN,US,iPhone15,8517120000,0.25,transfer_price
SP_iPhone15->Retail_EMEA_i15,CN,EU,iPhone15,8517120000,0.075,transfer_price
SP_iPhone15->Retail_APAC_i15,CN,SG,iPhone15,8517120000,0.00,transfer_price
Foxconn_CN_i17->SP_iPhone17,CN,CN,iPhone17,8517120000,0.00,transfer_price
SP_iPhone17->Retail_AMER_i17,CN,US,iPhone17,8517120000,0.25,transfer_price
SP_iPhone17->Retail_EMEA_i17,CN,EU,iPhone17,8517120000,0.075,transfer_price
SP_iPhone17->Retail_APAC_i17,CN,SG,iPhone17,8517120000,0.00,transfer_price
