sku_id,region,week,quantity
Gasoline_Local,KANTO,2027-W01,36
Gasoline_Local,KANSAI,2027-W01,21
Gasoline_Local,CHUBU,2027-W01,11
Gasoline_Import,KANTO_I,2027-W01,9
Gasoline_Import,KANSAI_I,2027-W01,6
Gasoline_Local,KANTO,2027-W02,72
Gasoline_Local,KANSAI,2027-W02,43
Gasoline_Local,CHUBU,2027-W02,21
Gasoline_Import,KANTO_I,2027-W02,19
Gasoline_Import,KANSAI_I,2027-W02,12
Gasoline_Local,KANTO,2027-W03,108
Gasoline_Local,KANSAI,2027-W03,65
Gasoline_Local,CHUBU,2027-W03,32
Gasoline_Import,KANTO_I,2027-W03,29
Gasoline_Import,KANSAI_I,2027-W03,18
Gasoline_Local,KANTO,2027-W04,146
Gasoline_Local,KANSAI,2027-W04,87
Gasoline_Local,CHUBU,2027-W04,44
Gasoline_Import,KANTO_I,2027-W04,39
Gasoline_Import,KANSAI_I,2027-W04,24
Gasoline_Local,KANTO,2027-W05,184
Gasoline_Local,KANSAI,2027-W05,110
Gasoline_Local,CHUBU,2027-W05,55
Gasoline_Import,KANTO_I,2027-W05,49
Gasoline_Import,KANSAI_I,2027-W05,31
Gasoline_Local,KANTO,2027-W06,223
Gasoline_Local,KANSAI,2027-W06,134
Gasoline_Local,CHUBU,2027-W06,67
Gasoline_Import,KANTO_I,2027-W06,59
Gasoline_Import,KANSAI_I,2027-W06,37
Gasoline_Local,KANTO,2027-W07,262
Gasoline_Local,KANSAI,2027-W07,158
Gasoline_Local,CHUBU,2027-W07,79
Gasoline_Import,KANTO_I,2027-W07,70
Gasoline_Import,KANSAI_I,2027-W07,44
Gasoline_Local,KANTO,2027-W08,303
Gasoline_Local,KANSAI,2027-W08,182
Gasoline_Local,CHUBU,2027-W08,91
Gasoline_Import,KANTO_I,2027-W08,81
Gasoline_Import,KANSAI_I,2027-W08,50
Gasoline_Local,KANTO,2027-W09,306
Gasoline_Local,KANSAI,2027-W09,183
Gasoline_Local,CHUBU,2027-W09,92
Gasoline_Import,KANTO_I,2027-W09,82
Gasoline_Import,KANSAI_I,2027-W09,51
Gasoline_Local,KANTO,2027-W10,309
Gasoline_Local,KANSAI,2027-W10,185
Gasoline_Local,CHUBU,2027-W10,93
Gasoline_Import,KANTO_I,2027-W10,82
Gasoline_Import,KANSAI_I,2027-W10,51
Gasoline_Local,KANTO,2027-W11,311
Gasoline_Local,KANSAI,2027-W11,187
Gasoline_Local,CHUBU,2027-W11,93
Gasoline_Import,KANTO_I,2027-W11,83
Gasoline_Import,KANSAI_I,2027-W11,52
Gasoline_Local,KANTO,2027-W12,314
Gasoline_Local,KANSAI,2027-W12,188
Gasoline_Local,CHUBU,2027-W12,94
Gasoline_Import,KANTO_I,2027-W12,84
Gasoline_Import,KANSAI_I,2027-W12,52
Gasoline_Local,KANTO,2027-W13,316
Gasoline_Local,KANSAI,2027-W13,190
Gasoline_Local,CHUBU,2027-W13,95
Gasoline_Import,KANTO_I,2027-W13,84
Gasoline_Import,KANSAI_I,2027-W13,53
Gasoline_Local,KANTO,2027-W14,318
Gasoline_Local,KANSAI,2027-W14,191
Gasoline_Local,CHUBU,2027-W14,95
Gasoline_Import,KANTO_I,2027-W14,85
Gasoline_Import,KANSAI_I,2027-W14,53
Gasoline_Local,KANTO,2027-W15,320
Gasoline_Local,KANSAI,2027-W15,192
Gasoline_Local,CHUBU,2027-W15,96
Gasoline_Import,KANTO_I,2027-W15,85
Gasoline_Import,KANSAI_I,2027-W15,53
Gasoline_Local,KANTO,2027-W16,321
Gasoline_Local,KANSAI,2027-W16,193
Gasoline_Local,CHUBU,2027-W16,96
Gasoline_Import,KANTO_I,2027-W16,86
Gasoline_Import,KANSAI_I,2027-W16,54
Gasoline_Local,KANTO,2027-W17,322
Gasoline_Local,KANSAI,2027-W17,193
Gasoline_Local,CHUBU,2027-W17,97
Gasoline_Import,KANTO_I,2027-W17,86
Gasoline_Import,KANSAI_I,2027-W17,54
Gasoline_Local,KANTO,2027-W18,323
Gasoline_Local,KANSAI,2027-W18,194
Gasoline_Local,CHUBU,2027-W18,97
Gasoline_Import,KANTO_I,2027-W18,86
Gasoline_Import,KANSAI_I,2027-W18,54
Gasoline_Local,KANTO,2027-W19,324
Gasoline_Local,KANSAI,2027-W19,194
Gasoline_Local,CHUBU,2027-W19,97
Gasoline_Import,KANTO_I,2027-W19,86
Gasoline_Import,KANSAI_I,2027-W19,54
Gasoline_Local,KANTO,2027-W20,324
Gasoline_Local,KANSAI,2027-W20,194
Gasoline_Local,CHUBU,2027-W20,97
Gasoline_Import,KANTO_I,2027-W20,86
Gasoline_Import,KANSAI_I,2027-W20,54
Gasoline_Local,KANTO,2027-W21,324
Gasoline_Local,KANSAI,2027-W21,194
Gasoline_Local,CHUBU,2027-W21,97
Gasoline_Import,KANTO_I,2027-W21,86
Gasoline_Import,KANSAI_I,2027-W21,54
Gasoline_Local,KANTO,2027-W22,323
Gasoline_Local,KANSAI,2027-W22,194
Gasoline_Local,CHUBU,2027-W22,97
Gasoline_Import,KANTO_I,2027-W22,86
Gasoline_Import,KANSAI_I,2027-W22,54
Gasoline_Local,KANTO,2027-W23,322
Gasoline_Local,KANSAI,2027-W23,193
Gasoline_Local,CHUBU,2027-W23,97
Gasoline_Import,KANTO_I,2027-W23,86
Gasoline_Import,KANSAI_I,2027-W23,54
Gasoline_Local,KANTO,2027-W24,321
Gasoline_Local,KANSAI,2027-W24,193
Gasoline_Local,CHUBU,2027-W24,96
Gasoline_Import,KANTO_I,2027-W24,86
Gasoline_Import,KANSAI_I,2027-W24,54
Gasoline_Local,KANTO,2027-W25,320
Gasoline_Local,KANSAI,2027-W25,192
Gasoline_Local,CHUBU,2027-W25,96
Gasoline_Import,KANTO_I,2027-W25,85
Gasoline_Import,KANSAI_I,2027-W25,53
Gasoline_Local,KANTO,2027-W26,318
Gasoline_Local,KANSAI,2027-W26,191
Gasoline_Local,CHUBU,2027-W26,95
Gasoline_Import,KANTO_I,2027-W26,85
Gasoline_Import,KANSAI_I,2027-W26,53
Gasoline_Local,KANTO,2027-W27,316
Gasoline_Local,KANSAI,2027-W27,190
Gasoline_Local,CHUBU,2027-W27,95
Gasoline_Import,KANTO_I,2027-W27,84
Gasoline_Import,KANSAI_I,2027-W27,53
Gasoline_Local,KANTO,2027-W28,314
Gasoline_Local,KANSAI,2027-W28,188
Gasoline_Local,CHUBU,2027-W28,94
Gasoline_Import,KANTO_I,2027-W28,84
