sku_id,region,on_hand_qty,on_order_qty,week
Gasoline_Local,KANTO,150,80,2027-W01
Gasoline_Local,KANSAI,90,50,2027-W01
Gasoline_Local,CHUBU,45,25,2027-W01
Gasoline_Import,KANTO_I,40,20,2027-W01
Gasoline_Import,KANSAI_I,25,12,2027-W01
Gasoline_Local_Hormuz,KANTO,1,1,2027-W01
Gasoline_Local_Hormuz,KANSAI,1,1,2027-W01
Gasoline_Local_Hormuz,CHUBU,1,1,2027-W01
Gasoline_Local_RedSea,KANTO,0,0,2027-W01
Gasoline_Local_RedSea,KANSAI,0,0,2027-W01
Gasoline_Local_RedSea,CHUBU,0,0,2027-W01
Gasoline_EU_Local,DE,170,90,2027-W01
Gasoline_EU_Local,FR,110,60,2027-W01
Gasoline_EU_Local,NL,55,30,2027-W01
Gasoline_EU_Import,DE_I,50,25,2027-W01
Gasoline_EU_Import,FR_I,30,15,2027-W01
Gasoline_US_Local,TX,220,120,2027-W01
Gasoline_US_Local,CA,150,80,2027-W01
Gasoline_US_Local,NY,75,40,2027-W01
Gasoline_US_Import,MW_I,30,15,2027-W01
Gasoline_US_Import,NE_I,20,10,2027-W01
