node_id,product_id,profit_zone_role,country
Crude_ME,Gasoline_Local,SUPPLIER_COST_BASE,ME
Refinery_Local,Gasoline_Local,MOM_PLANT_PROFIT,JP
SP_Oil_Local,Gasoline_Local,OPERATION_NODE_COST_BASE,JP
Tank_Local,Gasoline_Local,OPERATION_NODE_COST_BASE,JP
Retail_Local_KANTO,Gasoline_Local,OUTBOUND_CHANNEL_PROFIT,JP
Retail_Local_KANSAI,Gasoline_Local,OUTBOUND_CHANNEL_PROFIT,JP
Retail_Local_CHUBU,Gasoline_Local,OUTBOUND_CHANNEL_PROFIT,JP
Refinery_SG,Gasoline_Import,SUPPLIER_COST_BASE,SG
Import_Hub,Gasoline_Import,MOM_PLANT_PROFIT,SG
SP_Oil_Import,Gasoline_Import,OPERATION_NODE_COST_BASE,JP
Tank_Import,Gasoline_Import,OPERATION_NODE_COST_BASE,JP
Retail_Import_KANTO_I,Gasoline_Import,OUTBOUND_CHANNEL_PROFIT,JP
Retail_Import_KANSAI_I,Gasoline_Import,OUTBOUND_CHANNEL_PROFIT,JP
Crude_ME_Hormuz,Gasoline_Local_Hormuz,SUPPLIER_COST_BASE,ME
Refinery_Local_H,Gasoline_Local_Hormuz,MOM_PLANT_PROFIT,JP
SP_Oil_Local_H,Gasoline_Local_Hormuz,OPERATION_NODE_COST_BASE,JP
Tank_Local_H,Gasoline_Local_Hormuz,OPERATION_NODE_COST_BASE,JP
Retail_Local_H_KANTO,Gasoline_Local_Hormuz,OUTBOUND_CHANNEL_PROFIT,JP
Retail_Local_H_KANSAI,Gasoline_Local_Hormuz,OUTBOUND_CHANNEL_PROFIT,JP
Retail_Local_H_CHUBU,Gasoline_Local_Hormuz,OUTBOUND_CHANNEL_PROFIT,JP
Crude_ME_RedSea,Gasoline_Local_RedSea,SUPPLIER_COST_BASE,ME
Refinery_Local_R,Gasoline_Local_RedSea,MOM_PLANT_PROFIT,JP
SP_Oil_Local_R,Gasoline_Local_RedSea,OPERATION_NODE_COST_BASE,JP
Tank_Local_R,Gasoline_Local_RedSea,OPERATION_NODE_COST_BASE,JP
Retail_Local_R_KANTO,Gasoline_Local_RedSea,OUTBOUND_CHANNEL_PROFIT,JP
Retail_Local_R_KANSAI,Gasoline_Local_RedSea,OUTBOUND_CHANNEL_PROFIT,JP
Retail_Local_R_CHUBU,Gasoline_Local_RedSea,OUTBOUND_CHANNEL_PROFIT,JP
Crude_ME_EU,Gasoline_EU_Local,SUPPLIER_COST_BASE,ME
Refinery_EU,Gasoline_EU_Local,MOM_PLANT_PROFIT,EU
SP_Oil_EU_Local,Gasoline_EU_Local,OPERATION_NODE_COST_BASE,EU
Tank_EU_Local,Gasoline_EU_Local,OPERATION_NODE_COST_BASE,EU
Retail_EU_DE,Gasoline_EU_Local,OUTBOUND_CHANNEL_PROFIT,EU
Retail_EU_FR,Gasoline_EU_Local,OUTBOUND_CHANNEL_PROFIT,EU
Retail_EU_NL,Gasoline_EU_Local,OUTBOUND_CHANNEL_PROFIT,EU
Refinery_US,Gasoline_EU_Import,SUPPLIER_COST_BASE,US
Import_Hub_EU,Gasoline_EU_Import,MOM_PLANT_PROFIT,EU
SP_Oil_EU_Import,Gasoline_EU_Import,OPERATION_NODE_COST_BASE,EU
Tank_EU_Import,Gasoline_EU_Import,OPERATION_NODE_COST_BASE,EU
Retail_EU_Import_DE_I,Gasoline_EU_Import,OUTBOUND_CHANNEL_PROFIT,EU
Retail_EU_Import_FR_I,Gasoline_EU_Import,OUTBOUND_CHANNEL_PROFIT,EU
Shale_Permian,Gasoline_US_Local,SUPPLIER_COST_BASE,US
Refinery_USGulf,Gasoline_US_Local,MOM_PLANT_PROFIT,US
SP_Oil_US_Local,Gasoline_US_Local,OPERATION_NODE_COST_BASE,US
Tank_US_Local,Gasoline_US_Local,OPERATION_NODE_COST_BASE,US
Retail_US_TX,Gasoline_US_Local,OUTBOUND_CHANNEL_PROFIT,US
Retail_US_CA,Gasoline_US_Local,OUTBOUND_CHANNEL_PROFIT,US
Retail_US_NY,Gasoline_US_Local,OUTBOUND_CHANNEL_PROFIT,US
OilSands_Alberta,Gasoline_US_Import,SUPPLIER_COST_BASE,CA_PROV
Import_Hub_US,Gasoline_US_Import,MOM_PLANT_PROFIT,US
SP_Oil_US_Import,Gasoline_US_Import,OPERATION_NODE_COST_BASE,US
Tank_US_Import,Gasoline_US_Import,OPERATION_NODE_COST_BASE,US
Retail_US_Import_MW_I,Gasoline_US_Import,OUTBOUND_CHANNEL_PROFIT,US
Retail_US_Import_NE_I,Gasoline_US_Import,OUTBOUND_CHANNEL_PROFIT,US
