profit_zone_role,product_id,profit_type,basis,rate,fixed_amount
OUTBOUND_CHANNEL_PROFIT,Gasoline_Local,channel_margin,market_price,0.25,0
MOM_PLANT_PROFIT,Gasoline_Local,mom_margin,transfer_price,0.08,0
SUPPLIER_COST_BASE,Gasoline_Local,supplier_cost,transfer_price,1.0,0
OUTBOUND_CHANNEL_PROFIT,Gasoline_Import,channel_margin,market_price,0.3,0
MOM_PLANT_PROFIT,Gasoline_Import,mom_margin,transfer_price,0.08,0
SUPPLIER_COST_BASE,Gasoline_Import,supplier_cost,transfer_price,1.0,0
OUTBOUND_CHANNEL_PROFIT,Gasoline_Local_Hormuz,channel_margin,market_price,0.25,0
MOM_PLANT_PROFIT,Gasoline_Local_Hormuz,mom_margin,transfer_price,0.08,0
SUPPLIER_COST_BASE,Gasoline_Local_Hormuz,supplier_cost,transfer_price,1.0,0
OUTBOUND_CHANNEL_PROFIT,Gasoline_Local_RedSea,channel_margin,market_price,0.25,0
MOM_PLANT_PROFIT,Gasoline_Local_RedSea,mom_margin,transfer_price,0.08,0
SUPPLIER_COST_BASE,Gasoline_Local_RedSea,supplier_cost,transfer_price,1.0,0
OUTBOUND_CHANNEL_PROFIT,Gasoline_EU_Local,channel_margin,market_price,0.25,0
MOM_PLANT_PROFIT,Gasoline_EU_Local,mom_margin,transfer_price,0.08,0
SUPPLIER_COST_BASE,Gasoline_EU_Local,supplier_cost,transfer_price,1.0,0
OUTBOUND_CHANNEL_PROFIT,Gasoline_EU_Import,channel_margin,market_price,0.3,0
MOM_PLANT_PROFIT,Gasoline_EU_Import,mom_margin,transfer_price,0.08,0
SUPPLIER_COST_BASE,Gasoline_EU_Import,supplier_cost,transfer_price,1.0,0
OUTBOUND_CHANNEL_PROFIT,Gasoline_US_Local,channel_margin,market_price,0.25,0
MOM_PLANT_PROFIT,Gasoline_US_Local,mom_margin,transfer_price,0.08,0
SUPPLIER_COST_BASE,Gasoline_US_Local,supplier_cost,transfer_price,1.0,0
OUTBOUND_CHANNEL_PROFIT,Gasoline_US_Import,channel_margin,market_price,0.3,0
MOM_PLANT_PROFIT,Gasoline_US_Import,mom_margin,transfer_price,0.08,0
SUPPLIER_COST_BASE,Gasoline_US_Import,supplier_cost,transfer_price,1.0,0
