sku_id,node_name,week,max_supply,source
Koshihikari,JA_Niigata_Seihaku,2027-W01,1300,精米工場_通常
Koshihikari,Tanbo_Niigata,2027-W01,0.1,稲作田_非収穫期
Yumepirika,JA_Hokkaido_Seihaku,2027-W01,400,精米工場_通常
Yumepirika,Tanbo_Hokkaido,2027-W01,0.1,稲作田_非収穫期
Koshihikari,JA_Niigata_Seihaku,2027-W02,1300,精米工場_通常
Koshihikari,Tanbo_Niigata,2027-W02,0.1,稲作田_非収穫期
Yumepirika,JA_Hokkaido_Seihaku,2027-W02,400,精米工場_通常
Yumepirika,Tanbo_Hokkaido,2027-W02,0.1,稲作田_非収穫期
Koshihikari,JA_Niigata_Seihaku,2027-W03,1300,精米工場_通常
Koshihikari,Tanbo_Niigata,2027-W03,0.1,稲作田_非収穫期
Yumepirika,JA_Hokkaido_Seihaku,2027-W03,400,精米工場_通常
Yumepirika,Tanbo_Hokkaido,2027-W03,0.1,稲作田_非収穫期
Koshihikari,JA_Niigata_Seihaku,2027-W04,1300,精米工場_通常
Koshihikari,Tanbo_Niigata,2027-W04,0.1,稲作田_非収穫期
Yumepirika,JA_Hokkaido_Seihaku,2027-W04,400,精米工場_通常
Yumepirika,Tanbo_Hokkaido,2027-W04,0.1,稲作田_非収穫期
Koshihikari,JA_Niigata_Seihaku,2027-W05,1300,精米工場_通常
Koshihikari,Tanbo_Niigata,2027-W05,0.1,稲作田_非収穫期
Yumepirika,JA_Hokkaido_Seihaku,2027-W05,400,精米工場_通常
Yumepirika,Tanbo_Hokkaido,2027-W05,0.1,稲作田_非収穫期
Koshihikari,JA_Niigata_Seihaku,2027-W06,1300,精米工場_通常
Koshihikari,Tanbo_Niigata,2027-W06,0.1,稲作田_非収穫期
Yumepirika,JA_Hokkaido_Seihaku,2027-W06,400,精米工場_通常
Yumepirika,Tanbo_Hokkaido,2027-W06,0.1,稲作田_非収穫期
Koshihikari,JA_Niigata_Seihaku,2027-W07,1300,精米工場_通常
Koshihikari,Tanbo_Niigata,2027-W07,0.1,稲作田_非収穫期
Yumepirika,JA_Hokkaido_Seihaku,2027-W07,400,精米工場_通常
Yumepirika,Tanbo_Hokkaido,2027-W07,0.1,稲作田_非収穫期
Koshihikari,JA_Niigata_Seihaku,2027-W08,1300,精米工場_通常
Koshihikari,Tanbo_Niigata,2027-W08,0.1,稲作田_非収穫期
Yumepirika,JA_Hokkaido_Seihaku,2027-W08,400,精米工場_通常
Yumepirika,Tanbo_Hokkaido,2027-W08,0.1,稲作田_非収穫期
Koshihikari,JA_Niigata_Seihaku,2027-W09,1300,精米工場_通常
Koshihikari,Tanbo_Niigata,2027-W09,0.1,稲作田_非収穫期
Yumepirika,JA_Hokkaido_Seihaku,2027-W09,400,精米工場_通常
Yumepirika,Tanbo_Hokkaido,2027-W09,0.1,稲作田_非収穫期
Koshihikari,JA_Niigata_Seihaku,2027-W10,1300,精米工場_通常
Koshihikari,Tanbo_Niigata,2027-W10,0.1,稲作田_非収穫期
Yumepirika,JA_Hokkaido_Seihaku,2027-W10,400,精米工場_通常
Yumepirika,Tanbo_Hokkaido,2027-W10,0.1,稲作田_非収穫期
Koshihikari,JA_Niigata_Seihaku,2027-W11,1300,精米工場_通常
Koshihikari,Tanbo_Niigata,2027-W11,0.1,稲作田_非収穫期
Yumepirika,JA_Hokkaido_Seihaku,2027-W11,400,精米工場_通常
Yumepirika,Tanbo_Hokkaido,2027-W11,0.1,稲作田_非収穫期
Koshihikari,JA_Niigata_Seihaku,2027-W12,1300,精米工場_通常
Koshihikari,Tanbo_Niigata,2027-W12,0.1,稲作田_非収穫期
Yumepirika,JA_Hokkaido_Seihaku,2027-W12,400,精米工場_通常
Yumepirika,Tanbo_Hokkaido,2027-W12,0.1,稲作田_非収穫期
Koshihikari,JA_Niigata_Seihaku,2027-W13,1300,精米工場_通常
Koshihikari,Tanbo_Niigata,2027-W13,0.1,稲作田_非収穫期
Yumepirika,JA_Hokkaido_Seihaku,2027-W13,400,精米工場_通常
Yumepirika,Tanbo_Hokkaido,2027-W13,0.1,稲作田_非収穫期
Koshihikari,JA_Niigata_Seihaku,2027-W14,1300,精米工場_通常
Koshihikari,Tanbo_Niigata,2027-W14,0.1,稲作田_非収穫期
Yumepirika,JA_Hokkaido_Seihaku,2027-W14,400,精米工場_通常
Yumepirika,Tanbo_Hokkaido,2027-W14,0.1,稲作田_非収穫期
Koshihikari,JA_Niigata_Seihaku,2027-W15,1300,精米工場_通常
Koshihikari,Tanbo_Niigata,2027-W15,0.1,稲作田_非収穫期
Yumepirika,JA_Hokkaido_Seihaku,2027-W15,400,精米工場_通常
Yumepirika,Tanbo_Hokkaido,2027-W15,0.1,稲作田_非収穫期
Koshihikari,JA_Niigata_Seihaku,2027-W16,1300,精米工場_通常
Koshihikari,Tanbo_Niigata,2027-W16,0.1,稲作田_非収穫期
Yumepirika,JA_Hokkaido_Seihaku,2027-W16,400,精米工場_通常
