scenario,src_region,dst_region,tariff_rate,fx_rate,src_currency,dst_currency,freight_usd_per_lot,notes
Base,JP,KANTO,0.00,1.00,JPY,JPY,50000,Niigata->Kanto standard freight (JPY/lot)
Base,JP,TOHOKU,0.00,1.00,JPY,JPY,55000,Niigata->Tohoku standard freight
Base,JP,KANSAI,0.00,1.00,JPY,JPY,70000,Niigata->Kansai standard freight
Base,JP,KYUSHU,0.00,1.00,JPY,JPY,90000,Niigata->Kyushu standard freight
FreightUp,JP,KANTO,0.00,1.00,JPY,JPY,65000,+30% fuel surcharge KANTO
FreightUp,JP,TOHOKU,0.00,1.00,JPY,JPY,72000,+30% fuel surcharge TOHOKU
FreightUp,JP,KANSAI,0.00,1.00,JPY,JPY,91000,+30% fuel surcharge KANSAI
FreightUp,JP,KYUSHU,0.00,1.00,JPY,JPY,117000,+30% fuel surcharge KYUSHU
DriverShortage,JP,KANTO,0.00,1.00,JPY,JPY,60000,+20% driver shortage KANTO
DriverShortage,JP,TOHOKU,0.00,1.00,JPY,JPY,66000,+20% driver shortage TOHOKU
DriverShortage,JP,KANSAI,0.00,1.00,JPY,JPY,84000,+20% driver shortage KANSAI
DriverShortage,JP,KYUSHU,0.00,1.00,JPY,JPY,108000,+20% driver shortage KYUSHU
