sku_id,region,week,quantity
SmartX,AMER,2026-W01,523
SmartX,AMER,2026-W02,521
SmartX,AMER,2026-W03,518
SmartX,AMER,2026-W04,516
SmartX,AMER,2026-W05,514
SmartX,AMER,2026-W06,511
SmartX,AMER,2026-W07,509
SmartX,AMER,2026-W08,507
SmartX,AMER,2026-W09,505
SmartX,AMER,2026-W10,502
SmartX,AMER,2026-W11,500
SmartX,AMER,2026-W12,498
SmartX,AMER,2026-W13,495
SmartX,AMER,2026-W14,493
SmartX,AMER,2026-W15,491
SmartX,AMER,2026-W16,488
SmartX,AMER,2026-W17,486
SmartX,AMER,2026-W18,484
SmartX,AMER,2026-W19,481
SmartX,AMER,2026-W20,479
SmartX,AMER,2026-W21,477
SmartX,AMER,2026-W22,475
SmartX,AMER,2026-W23,472
SmartX,AMER,2026-W24,470
SmartX,AMER,2026-W25,468
SmartX,AMER,2026-W26,465
SmartX,AMER,2026-W27,463
SmartX,AMER,2026-W28,461
SmartX,AMER,2026-W29,458
SmartX,AMER,2026-W30,456
SmartX,AMER,2026-W31,454
SmartX,AMER,2026-W32,451
SmartX,AMER,2026-W33,449
SmartX,AMER,2026-W34,447
SmartX,AMER,2026-W35,445
SmartX,AMER,2026-W36,442
SmartX,AMER,2026-W37,440
SmartX,AMER,2026-W38,438
SmartX,AMER,2026-W39,435
SmartX,AMER,2026-W40,433
SmartX,AMER,2026-W41,431
SmartX,AMER,2026-W42,428
SmartX,AMER,2026-W43,426
SmartX,AMER,2026-W44,424
SmartX,AMER,2026-W45,421
SmartX,AMER,2026-W46,419
SmartX,AMER,2026-W47,417
SmartX,AMER,2026-W48,415
SmartX,AMER,2026-W49,412
SmartX,AMER,2026-W50,410
SmartX,AMER,2026-W51,408
SmartX,AMER,2026-W52,405
SmartX,AMER,2026-W53,403
SmartX,AMER,2027-W01,400
SmartX,AMER,2027-W02,400
SmartX,AMER,2027-W03,400
SmartX,AMER,2027-W04,400
SmartX,AMER,2027-W05,400
SmartX,AMER,2027-W06,400
SmartX,AMER,2027-W07,400
SmartX,AMER,2027-W08,400
SmartX,AMER,2027-W09,400
SmartX,AMER,2027-W10,400
SmartX,AMER,2027-W11,400
SmartX,AMER,2027-W12,400
SmartX,AMER,2027-W13,400
SmartX,AMER,2027-W14,400
SmartX,AMER,2027-W15,400
SmartX,AMER,2027-W16,400
SmartX,AMER,2027-W17,400
SmartX,AMER,2027-W18,400
SmartX,AMER,2027-W19,400
SmartX,AMER,2027-W20,400
SmartX,AMER,2027-W21,400
SmartX,AMER,2027-W22,400
SmartX,AMER,2027-W23,400
SmartX,AMER,2027-W24,400
SmartX,AMER,2027-W25,400
SmartX,AMER,2027-W26,400
SmartX,AMER,2027-W27,396
SmartX,AMER,2027-W28,393
SmartX,AMER,2027-W29,389
SmartX,AMER,2027-W30,385
SmartX,AMER,2027-W31,381
SmartX,AMER,2027-W32,378
SmartX,AMER,2027-W33,374
SmartX,AMER,2027-W34,370
SmartX,AMER,2027-W35,367
SmartX,AMER,2027-W36,363
SmartX,AMER,2027-W37,359
SmartX,AMER,2027-W38,356
SmartX,AMER,2027-W39,352
SmartX,AMER,2027-W40,348
SmartX,AMER,2027-W41,344
SmartX,AMER,2027-W42,341
SmartX,AMER,2027-W43,337
SmartX,AMER,2027-W44,333
SmartX,AMER,2027-W45,330
SmartX,AMER,2027-W46,326
SmartX,AMER,2027-W47,322
SmartX,AMER,2027-W48,319
SmartX,AMER,2027-W49,315
SmartX,AMER,2027-W50,311
SmartX,AMER,2027-W51,307
SmartX,AMER,2027-W52,304
SmartX,AMER,2028-W01,296
SmartX,AMER,2028-W02,293
SmartX,AMER,2028-W03,289
SmartX,AMER,2028-W04,285
SmartX,AMER,2028-W05,281
SmartX,AMER,2028-W06,278
SmartX,AMER,2028-W07,274
SmartX,AMER,2028-W08,270
SmartX,AMER,2028-W09,267
SmartX,AMER,2028-W10,263
SmartX,AMER,2028-W11,259
SmartX,AMER,2028-W12,256
SmartX,AMER,2028-W13,252
SmartX,AMER,2028-W14,248
SmartX,AMER,2028-W15,244
SmartX,AMER,2028-W16,241
SmartX,AMER,2028-W17,237
SmartX,AMER,2028-W18,233
SmartX,AMER,2028-W19,230
SmartX,AMER,2028-W20,226
SmartX,AMER,2028-W21,222
SmartX,AMER,2028-W22,219
SmartX,AMER,2028-W23,215
SmartX,AMER,2028-W24,211
SmartX,AMER,2028-W25,207
SmartX,AMER,2028-W26,204
SmartX,AMER,2028-W27,197
SmartX,AMER,2028-W28,195
SmartX,AMER,2028-W29,192
SmartX,AMER,2028-W30,190
SmartX,AMER,2028-W31,187
SmartX,AMER,2028-W32,184
SmartX,AMER,2028-W33,182
SmartX,AMER,2028-W34,179
SmartX,AMER,2028-W35,177
SmartX,AMER,2028-W36,174
SmartX,AMER,2028-W37,171
SmartX,AMER,2028-W38,169
SmartX,AMER,2028-W39,166
SmartX,AMER,2028-W40,164
SmartX,AMER,2028-W41,161
SmartX,AMER,2028-W42,159
SmartX,AMER,2028-W43,156
SmartX,AMER,2028-W44,153
SmartX,AMER,2028-W45,151
SmartX,AMER,2028-W46,148
SmartX,AMER,2028-W47,146
SmartX,AMER,2028-W48,143
SmartX,AMER,2028-W49,140
SmartX,AMER,2028-W50,138
SmartX,AMER,2028-W51,135
SmartX,AMER,2028-W52,133
SmartX,AMER,2029-W01,128
SmartX,AMER,2029-W02,126
SmartX,AMER,2029-W03,124
SmartX,AMER,2029-W04,123
SmartX,AMER,2029-W05,121
SmartX,AMER,2029-W06,119
SmartX,AMER,2029-W07,117
SmartX,AMER,2029-W08,115
SmartX,AMER,2029-W09,113
SmartX,AMER,2029-W10,111
SmartX,AMER,2029-W11,110
SmartX,AMER,2029-W12,108
SmartX,AMER,2029-W13,106
SmartX,AMER,2029-W14,104
SmartX,AMER,2029-W15,102
SmartX,AMER,2029-W16,100
SmartX,AMER,2029-W17,99
SmartX,AMER,2029-W18,97
SmartX,AMER,2029-W19,95
SmartX,AMER,2029-W20,93
SmartX,AMER,2029-W21,91
SmartX,AMER,2029-W22,89
SmartX,AMER,2029-W23,87
SmartX,AMER,2029-W24,86
SmartX,AMER,2029-W25,84
SmartX,AMER,2029-W26,82
SmartX,AMER,2029-W27,79
SmartX,AMER,2029-W28,77
SmartX,AMER,2029-W29,76
SmartX,AMER,2029-W30,74
SmartX,AMER,2029-W31,73
SmartX,AMER,2029-W32,71
SmartX,AMER,2029-W33,70
SmartX,AMER,2029-W34,68
SmartX,AMER,2029-W35,67
SmartX,AMER,2029-W36,65
SmartX,AMER,2029-W37,64
SmartX,AMER,2029-W38,62
SmartX,AMER,2029-W39,61
SmartX,AMER,2029-W40,59
SmartX,AMER,2029-W41,58
SmartX,AMER,2029-W42,56
SmartX,AMER,2029-W43,55
