scenario_id,quarter,market,currency,tariff_rate,fx_spot_jpy,material_price_usd,interest_rate_annual,note
s1_base,2027Q1,JP,JPY,0.000,1.00,6.00,0.030,2027 実勢。基準ケース
s1_base,2027Q1,US,USD,0.125,150.00,6.00,0.030,
s1_base,2027Q1,EU,EUR,0.080,162.00,6.00,0.030,
s1_base,2027Q2,JP,JPY,0.000,1.00,6.00,0.030,
s1_base,2027Q2,US,USD,0.125,150.00,6.00,0.030,
s1_base,2027Q2,EU,EUR,0.080,162.00,6.00,0.030,
s1_base,2027Q3,JP,JPY,0.000,1.00,6.00,0.030,
s1_base,2027Q3,US,USD,0.125,150.00,6.00,0.030,
s1_base,2027Q3,EU,EUR,0.080,162.00,6.00,0.030,
s1_base,2027Q4,JP,JPY,0.000,1.00,6.00,0.030,
s1_base,2027Q4,US,USD,0.125,150.00,6.00,0.030,
s1_base,2027Q4,EU,EUR,0.080,162.00,6.00,0.030,
s1_base,2028Q1,JP,JPY,0.000,1.00,6.00,0.030,
s1_base,2028Q1,US,USD,0.125,150.00,6.00,0.030,
s1_base,2028Q1,EU,EUR,0.080,162.00,6.00,0.030,
s1_base,2028Q2,JP,JPY,0.000,1.00,6.00,0.030,
s1_base,2028Q2,US,USD,0.125,150.00,6.00,0.030,
s1_base,2028Q2,EU,EUR,0.080,162.00,6.00,0.030,
s1_base,2028Q3,JP,JPY,0.000,1.00,6.00,0.030,
s1_base,2028Q3,US,USD,0.125,150.00,6.00,0.030,
s1_base,2028Q3,EU,EUR,0.080,162.00,6.00,0.030,
s1_base,2028Q4,JP,JPY,0.000,1.00,6.00,0.030,
s1_base,2028Q4,US,USD,0.125,150.00,6.00,0.030,
s1_base,2028Q4,EU,EUR,0.080,162.00,6.00,0.030,
s2_weak_yen,2027Q1,JP,JPY,0.000,1.00,6.00,0.030,円安持続（USD200）。輸出マージンの拡大を見る
s2_weak_yen,2027Q1,US,USD,0.125,200.00,6.00,0.030,
s2_weak_yen,2027Q1,EU,EUR,0.080,216.00,6.00,0.030,
s2_weak_yen,2027Q2,JP,JPY,0.000,1.00,6.00,0.030,
s2_weak_yen,2027Q2,US,USD,0.125,200.00,6.00,0.030,
s2_weak_yen,2027Q2,EU,EUR,0.080,216.00,6.00,0.030,
s2_weak_yen,2027Q3,JP,JPY,0.000,1.00,6.00,0.030,
s2_weak_yen,2027Q3,US,USD,0.125,200.00,6.00,0.030,
s2_weak_yen,2027Q3,EU,EUR,0.080,216.00,6.00,0.030,
s2_weak_yen,2027Q4,JP,JPY,0.000,1.00,6.00,0.030,
s2_weak_yen,2027Q4,US,USD,0.125,200.00,6.00,0.030,
s2_weak_yen,2027Q4,EU,EUR,0.080,216.00,6.00,0.030,
s2_weak_yen,2028Q1,JP,JPY,0.000,1.00,6.00,0.030,
s2_weak_yen,2028Q1,US,USD,0.125,200.00,6.00,0.030,
s2_weak_yen,2028Q1,EU,EUR,0.080,216.00,6.00,0.030,
s2_weak_yen,2028Q2,JP,JPY,0.000,1.00,6.00,0.030,
s2_weak_yen,2028Q2,US,USD,0.125,200.00,6.00,0.030,
s2_weak_yen,2028Q2,EU,EUR,0.080,216.00,6.00,0.030,
