week,currency,base_currency,rate
2027-W01,JPY,JPY,1.0
2027-W01,USD,JPY,150.0
2027-W01,EUR,JPY,162.0
2027-W02,JPY,JPY,1.0
2027-W02,USD,JPY,150.0
2027-W02,EUR,JPY,162.0
2027-W03,JPY,JPY,1.0
2027-W03,USD,JPY,150.0
2027-W03,EUR,JPY,162.0
2027-W04,JPY,JPY,1.0
2027-W04,USD,JPY,150.0
2027-W04,EUR,JPY,162.0
2027-W05,JPY,JPY,1.0
2027-W05,USD,JPY,150.0
2027-W05,EUR,JPY,162.0
2027-W06,JPY,JPY,1.0
2027-W06,USD,JPY,150.0
2027-W06,EUR,JPY,162.0
2027-W07,JPY,JPY,1.0
2027-W07,USD,JPY,150.0
2027-W07,EUR,JPY,162.0
2027-W08,JPY,JPY,1.0
2027-W08,USD,JPY,150.0
2027-W08,EUR,JPY,162.0
2027-W09,JPY,JPY,1.0
2027-W09,USD,JPY,150.0
2027-W09,EUR,JPY,162.0
2027-W10,JPY,JPY,1.0
2027-W10,USD,JPY,150.0
2027-W10,EUR,JPY,162.0
2027-W11,JPY,JPY,1.0
2027-W11,USD,JPY,150.0
2027-W11,EUR,JPY,162.0
2027-W12,JPY,JPY,1.0
2027-W12,USD,JPY,150.0
2027-W12,EUR,JPY,162.0
2027-W13,JPY,JPY,1.0
2027-W13,USD,JPY,150.0
2027-W13,EUR,JPY,162.0
2027-W14,JPY,JPY,1.0
2027-W14,USD,JPY,150.0
2027-W14,EUR,JPY,162.0
2027-W15,JPY,JPY,1.0
2027-W15,USD,JPY,150.0
2027-W15,EUR,JPY,162.0
2027-W16,JPY,JPY,1.0
2027-W16,USD,JPY,150.0
2027-W16,EUR,JPY,162.0
2027-W17,JPY,JPY,1.0
2027-W17,USD,JPY,150.0
2027-W17,EUR,JPY,162.0
2027-W18,JPY,JPY,1.0
2027-W18,USD,JPY,150.0
2027-W18,EUR,JPY,162.0
2027-W19,JPY,JPY,1.0
2027-W19,USD,JPY,150.0
2027-W19,EUR,JPY,162.0
2027-W20,JPY,JPY,1.0
2027-W20,USD,JPY,150.0
2027-W20,EUR,JPY,162.0
2027-W21,JPY,JPY,1.0
2027-W21,USD,JPY,150.0
2027-W21,EUR,JPY,162.0
2027-W22,JPY,JPY,1.0
2027-W22,USD,JPY,150.0
2027-W22,EUR,JPY,162.0
2027-W23,JPY,JPY,1.0
2027-W23,USD,JPY,150.0
2027-W23,EUR,JPY,162.0
2027-W24,JPY,JPY,1.0
2027-W24,USD,JPY,150.0
2027-W24,EUR,JPY,162.0
2027-W25,JPY,JPY,1.0
2027-W25,USD,JPY,150.0
