node_id,product_id,profit_zone_role,country
Materials_JP,Soy_Sauce,SUPPLIER_COST_BASE,JP
Brewing_Noda,Soy_Sauce,MOM_PLANT_PROFIT,JP
Bottling_Noda,Soy_Sauce,MOM_PLANT_PROFIT,JP
SP_Soy,Soy_Sauce,OPERATION_NODE_COST_BASE,JP
FG_WH_Noda,Soy_Sauce,OPERATION_NODE_COST_BASE,JP
DC_US_SF,Soy_Sauce,OPERATION_NODE_COST_BASE,US
Rest_US_West,Soy_Sauce,OUTBOUND_CHANNEL_PROFIT,US
DC_US_NY,Soy_Sauce,OPERATION_NODE_COST_BASE,US
Rest_US_East,Soy_Sauce,OUTBOUND_CHANNEL_PROFIT,US
DC_JP,Soy_Sauce,OPERATION_NODE_COST_BASE,JP
Rest_JP,Soy_Sauce,OUTBOUND_CHANNEL_PROFIT,JP
DC_EU_RTM,Soy_Sauce,OPERATION_NODE_COST_BASE,NL
Rest_FR,Soy_Sauce,OUTBOUND_CHANNEL_PROFIT,FR
Rest_BE,Soy_Sauce,OUTBOUND_CHANNEL_PROFIT,BE
Rest_NL,Soy_Sauce,OUTBOUND_CHANNEL_PROFIT,NL
