product_name,node_name,price_sales_shipped,cost_total,profit,marketing_promotion,sales_admin_cost,SGA_total,logistics_costs,warehouse_cost,direct_materials_costs,tariff_cost,purchase_total_cost,prod_indirect_labor,prod_indirect_others,direct_labor_costs,depreciation_others,manufacturing_overhead
IPHONE_NM_2028_BASE,supply_point,969.0,823.65,145.35,0.0,9.69,9.69,9.69,0.0,678.3,0.0,687.99,16.96,12.11,77.52,19.38,48.45
IPHONE_NM_2028_BASE,MOM_final_assy_ASIA,969.0,852.72,116.28,0.0,0.0,0.0,9.69,0.0,697.68,0.0,707.37,23.74,16.96,77.52,27.13,67.83
IPHONE_NM_2028_BASE,MOM_final_assy_EURO,969.0,852.72,116.28,0.0,0.0,0.0,9.69,0.0,697.68,0.0,707.37,23.74,16.96,77.52,27.13,67.83
IPHONE_NM_2028_BASE,PAD_final_assy_ASIA,969.0,872.1,96.9,0.0,0.0,0.0,19.38,9.69,775.2,9.69,813.96,10.17,7.27,29.07,11.63,29.07
IPHONE_NM_2028_BASE,PAD_final_assy_EURO,969.0,872.1,96.9,0.0,0.0,0.0,19.38,9.69,775.2,9.69,813.96,10.17,7.27,29.07,11.63,29.07
IPHONE_NM_2028_PRO,supply_point,1169.0,993.65,175.35,0.0,11.69,11.69,11.69,0.0,818.3,0.0,829.99,20.46,14.61,93.52,23.38,58.45
IPHONE_NM_2028_PRO,MOM_final_assy_ASIA,1169.0,1028.72,140.28,0.0,0.0,0.0,11.69,0.0,841.68,0.0,853.37,28.64,20.46,93.52,32.73,81.83
IPHONE_NM_2028_PRO,MOM_final_assy_EURO,1169.0,1028.72,140.28,0.0,0.0,0.0,11.69,0.0,841.68,0.0,853.37,28.64,20.46,93.52,32.73,81.83
IPHONE_NM_2028_PRO,PAD_final_assy_ASIA,1169.0,1052.1,116.9,0.0,0.0,0.0,23.38,11.69,935.2,11.69,981.96,12.27,8.77,35.07,14.03,35.07
IPHONE_NM_2028_PRO,PAD_final_assy_EURO,1169.0,1052.1,116.9,0.0,0.0,0.0,23.38,11.69,935.2,11.69,981.96,12.27,8.77,35.07,14.03,35.07
