scenario,sku_id,region,week,opening_inv,supply_receipt,gross_avail,demand_fcst,demand_fulfilled,stockout_qty,closing_inv,safety_stock_qty,reorder_qty,fill_rate,inv_cover_wks,inv_value
Base,SKU-A001,AMER,2024-W01,661.0,0.0,661.0,1014.0,661.0,353.0,0.0,1984.6154,971.0,0.6519,0.0,0.0
Base,SKU-A001,AMER,2024-W02,0.0,0.0,0.0,987.0,0.0,987.0,0.0,1984.6154,738.0,0.0,0.0,0.0
Base,SKU-A001,AMER,2024-W03,0.0,0.0,0.0,1159.0,0.0,1159.0,0.0,1984.6154,888.0,0.0,0.0,0.0
Base,SKU-A001,AMER,2024-W04,0.0,0.0,0.0,1272.0,0.0,1272.0,0.0,1984.6154,914.0,0.0,0.0,0.0
Base,SKU-A001,AMER,2024-W05,0.0,1379.0,1379.0,1252.0,1252.0,0.0,127.0,1984.6154,893.0,1.0,0.1,2853.69
Base,SKU-A001,AMER,2024-W06,127.0,738.0,865.0,1231.0,865.0,366.0,0.0,1984.6154,867.0,0.7027,0.0,0.0
Base,SKU-A001,AMER,2024-W07,0.0,888.0,888.0,1335.0,888.0,447.0,0.0,1984.6154,1061.0,0.6652,0.0,0.0
Base,SKU-A001,AMER,2024-W08,0.0,914.0,914.0,1332.0,914.0,418.0,0.0,1984.6154,902.0,0.6862,0.0,0.0
Base,SKU-A001,AMER,2024-W09,0.0,893.0,893.0,1493.0,893.0,600.0,0.0,1984.6154,790.0,0.5981,0.0,0.0
Base,SKU-A001,AMER,2024-W10,0.0,867.0,867.0,1420.0,867.0,553.0,0.0,1984.6154,798.0,0.6106,0.0,0.0
Base,SKU-A001,AMER,2024-W11,0.0,1061.0,1061.0,1355.0,1061.0,294.0,0.0,1984.6154,925.0,0.783,0.0,0.0
Base,SKU-A001,AMER,2024-W12,0.0,902.0,902.0,1214.0,902.0,312.0,0.0,1984.6154,972.0,0.743,0.0,0.0
Base,SKU-A001,AMER,2024-W13,0.0,790.0,790.0,1128.0,790.0,338.0,0.0,1984.6154,960.0,0.7004,0.0,0.0
Base,SKU-A001,AMER,2024-W14,0.0,798.0,798.0,988.0,798.0,190.0,0.0,1984.6154,1071.0,0.8077,0.0,0.0
Base,SKU-A001,AMER,2024-W15,0.0,925.0,925.0,984.0,925.0,59.0,0.0,1984.6154,1018.0,0.94,0.0,0.0
Base,SKU-A001,AMER,2024-W16,0.0,972.0,972.0,1045.0,972.0,73.0,0.0,1984.6154,904.0,0.9301,0.0,0.0
Base,SKU-A001,AMER,2024-W17,0.0,960.0,960.0,1074.0,960.0,114.0,0.0,1984.6154,1037.0,0.8939,0.0,0.0
Base,SKU-A001,AMER,2024-W18,0.0,1071.0,1071.0,1016.0,1016.0,0.0,55.0,1984.6154,951.0,1.0,0.04,1235.85
Base,SKU-A001,AMER,2024-W19,55.0,1018.0,1073.0,1129.0,1073.0,56.0,0.0,1984.6154,852.0,0.9504,0.0,0.0
Base,SKU-A001,AMER,2024-W20,0.0,904.0,904.0,1327.0,904.0,423.0,0.0,1984.6154,824.0,0.6812,0.0,0.0
Base,SKU-A001,AMER,2024-W21,0.0,1037.0,1037.0,1308.0,1037.0,271.0,0.0,1984.6154,1077.0,0.7928,0.0,0.0
Base,SKU-A001,AMER,2024-W22,0.0,951.0,951.0,1557.0,951.0,606.0,0.0,1984.6154,836.0,0.6108,0.0,0.0
Base,SKU-A001,AMER,2024-W23,0.0,852.0,852.0,1646.0,852.0,794.0,0.0,1984.6154,899.0,0.5176,0.0,0.0
Base,SKU-A001,AMER,2024-W24,0.0,824.0,824.0,1565.0,824.0,741.0,0.0,1984.6154,1009.0,0.5265,0.0,0.0
Base,SKU-A001,AMER,2024-W25,0.0,1077.0,1077.0,1318.0,1077.0,241.0,0.0,1984.6154,943.0,0.8171,0.0,0.0
Base,SKU-A001,AMER,2024-W26,0.0,836.0,836.0,1101.0,836.0,265.0,0.0,1984.6154,979.0,0.7593,0.0,0.0
Base,SKU-A001,APAC,2024-W01,2733.0,0.0,2733.0,649.0,649.0,0.0,2084.0,1247.7692,1003.0,1.0,2.51,344422.68
Base,SKU-A001,APAC,2024-W02,2084.0,0.0,2084.0,782.0,782.0,0.0,1302.0,1247.7692,1032.0,1.0,1.57,215181.54
Base,SKU-A001,APAC,2024-W03,1302.0,81.0,1383.0,790.0,790.0,0.0,593.0,1247.7692,1089.0,1.0,0.71,98005.11
Base,SKU-A001,APAC,2024-W04,593.0,0.0,593.0,756.0,593.0,163.0,0.0,1247.7692,1037.0,0.7844,0.0,0.0
Base,SKU-A001,APAC,2024-W05,0.0,0.0,0.0,811.0,0.0,811.0,0.0,1247.7692,1277.0,0.0,0.0,0.0
Base,SKU-A001,APAC,2024-W06,0.0,1003.0,1003.0,928.0,928.0,0.0,75.0,1247.7692,1011.0,1.0,0.09,12395.25
Base,SKU-A001,APAC,2024-W07,75.0,1032.0,1107.0,839.0,839.0,0.0,268.0,1247.7692,1309.0,1.0,0.32,44292.36
Base,SKU-A001,APAC,2024-W08,268.0,1089.0,1357.0,1023.0,1023.0,0.0,334.0,1247.7692,1074.0,1.0,0.4,55200.18
Base,SKU-A001,APAC,2024-W09,334.0,1037.0,1371.0,977.0,977.0,0.0,394.0,1247.7692,1180.0,1.0,0.47,65116.38
Base,SKU-A001,APAC,2024-W10,394.0,1277.0,1671.0,864.0,864.0,0.0,807.0,1247.7692,860.0,1.0,0.97,133372.89
Base,SKU-A001,APAC,2024-W11,807.0,1011.0,1818.0,768.0,768.0,0.0,1050.0,1247.7692,0.0,1.0,1.26,173533.5
Base,SKU-A001,APAC,2024-W12,1050.0,1309.0,2359.0,867.0,867.0,0.0,1492.0,1247.7692,910.0,1.0,1.79,246582.84
Base,SKU-A001,APAC,2024-W13,1492.0,1074.0,2566.0,771.0,771.0,0.0,1795.0,1247.7692,1309.0,1.0,2.16,296659.65
Base,SKU-A001,APAC,2024-W14,1795.0,1180.0,2975.0,752.0,752.0,0.0,2223.0,1247.7692,940.0,1.0,2.67,367395.21
Base,SKU-A001,APAC,2024-W15,2223.0,860.0,3083.0,642.0,642.0,0.0,2441.0,1247.7692,0.0,1.0,2.93,403424.07
Base,SKU-A001,APAC,2024-W16,2441.0,0.0,2441.0,641.0,641.0,0.0,1800.0,1247.7692,1280.0,1.0,2.16,297486.0
Base,SKU-A001,APAC,2024-W17,1800.0,910.0,2710.0,733.0,733.0,0.0,1977.0,1247.7692,0.0,1.0,2.38,326738.79
Base,SKU-A001,APAC,2024-W18,1977.0,1309.0,3286.0,741.0,741.0,0.0,2545.0,1247.7692,901.0,1.0,3.06,420612.15
Base,SKU-A001,APAC,2024-W19,2545.0,940.0,3485.0,744.0,744.0,0.0,2741.0,1247.7692,997.0,1.0,3.3,453005.07
