scenario,sku_id,region,week,opening_inv,supply_receipt,gross_avail,demand_fcst,demand_fulfilled,stockout_qty,closing_inv,safety_stock_qty,reorder_qty,fill_rate,inv_cover_wks,inv_value
Downside,SKU-A001,AMER,2024-W01,661.0,0.0,661.0,811.2,661.0,150.2,0.0,1984.6154,971.0,0.8148,0.0,0.0
Downside,SKU-A001,AMER,2024-W02,0.0,0.0,0.0,789.6,0.0,789.6,0.0,1984.6154,738.0,0.0,0.0,0.0
Downside,SKU-A001,AMER,2024-W03,0.0,0.0,0.0,927.2,0.0,927.2,0.0,1984.6154,888.0,0.0,0.0,0.0
Downside,SKU-A001,AMER,2024-W04,0.0,0.0,0.0,1017.6,0.0,1017.6,0.0,1984.6154,914.0,0.0,0.0,0.0
Downside,SKU-A001,AMER,2024-W05,0.0,1379.0,1379.0,1001.6,1001.6,0.0,377.4,1984.6154,893.0,1.0,0.3,8480.18
Downside,SKU-A001,AMER,2024-W06,377.4,738.0,1115.4,984.8,984.8,0.0,130.6,1984.6154,867.0,1.0,0.11,2934.58
Downside,SKU-A001,AMER,2024-W07,130.6,888.0,1018.6,1068.0,1018.6,49.4,0.0,1984.6154,1061.0,0.9537,0.0,0.0
Downside,SKU-A001,AMER,2024-W08,0.0,914.0,914.0,1065.6,914.0,151.6,0.0,1984.6154,902.0,0.8577,0.0,0.0
Downside,SKU-A001,AMER,2024-W09,0.0,893.0,893.0,1194.4,893.0,301.4,0.0,1984.6154,790.0,0.7477,0.0,0.0
Downside,SKU-A001,AMER,2024-W10,0.0,867.0,867.0,1136.0,867.0,269.0,0.0,1984.6154,798.0,0.7632,0.0,0.0
Downside,SKU-A001,AMER,2024-W11,0.0,1061.0,1061.0,1084.0,1061.0,23.0,0.0,1984.6154,925.0,0.9788,0.0,0.0
Downside,SKU-A001,AMER,2024-W12,0.0,902.0,902.0,971.2,902.0,69.2,0.0,1984.6154,972.0,0.9287,0.0,0.0
Downside,SKU-A001,AMER,2024-W13,0.0,790.0,790.0,902.4,790.0,112.4,0.0,1984.6154,960.0,0.8754,0.0,0.0
