node,total_cost
CS_CN_PREMIUM,0.0
CS_DE_PREMIUM,0.0
CS_IN_ASPIRER,0.0
CS_JP_REPLACEMENT,0.0
CS_UK_MAINSTREAM,0.0
CS_US_MAINSTREAM,0.0
CS_US_PREMIUM,0.0
DAD_FAS_AMER,4524863.199999999
DAD_FAS_APAC,3816543.8000000007
DAD_FAS_EURO,1538504.7999999989
RT_CN_ONLINE,1402239.3700000003
RT_DE_ONLINE,526653.5399999996
RT_IN_ECOM,760197.9700000004
RT_JP_APPLE,509143.3200000002
RT_UK_CARRIER,550299.8200000003
RT_US_CARRIER,1761423.37
RT_US_ONLINE,1405980.870000001
WS_APAC,4579852.5600000005
WS_EU,1846205.7599999993
WS_NA,5429835.840000001
supply_point,37543664.83999999
